trial,dir_require_prior_trend,long_only,method,normalize_strength,roc1_months,roc2_months,stop_loss_pct,strength_window,sustain_days,take_profit_pct,trailing_stop_pct,trend_strength_threshold,wma_lookback,zc_require_prior_state,zc_sustain_days,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
13,True,False,zero_crossing,True,5.0,3.0,0.11207081808592796,378.0,3.0,0.23968851798443153,0.0,0.6292598864188674,1.0,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
14,False,True,zero_crossing,True,4.0,5.0,0.08310954369141432,378.0,4.0,0.11188122310101602,0.026614587933516457,0.6843687679878713,1.0,True,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
15,True,False,zero_crossing,True,7.0,4.0,0.048985668240551006,504.0,4.0,0.07639052455202862,0.07143535734303882,0.3009160566328486,2.0,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
16,False,True,directional,False,7.0,2.0,0.055621769860735554,315.0,2.0,0.14107876148550536,0.03862628517761828,0.370975417508257,4.0,False,5.0,0.4757739035842851,0.4478086862161092,2.3388004324243483,2.8391986026580565,4.845567547964151,1.4935925912150645,0.6171861495748032,5.15075335568598,-0.10204530300539986,60.4,0.1600260973709701,0.03474756397731008,1.7290640045556065,0.49241905535061037,1.7290640045556065,0.0,-1.7290640045556065
17,False,True,directional,True,7.0,2.0,0.03936247090420513,315.0,2.0,0.08665181009482194,0.0,0.685915182497311,2.0,False,3.0,0.5489334844272351,0.42398772389160444,2.0920479150035063,2.4032427246423094,4.316827335190192,1.458368566037312,0.6069539314611111,5.6122945366159644,-0.12920604044689427,77.8,0.1640057248423314,0.044488200715777124,1.6496178433990423,0.4861452316881475,1.6496178433990423,0.0,-1.6496178433990423
18,False,False,directional,True,5.0,4.0,0.14819726509237685,504.0,4.0,0.2141620177634117,0.040955905797432926,0.3502976129112242,2.0,True,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
19,True,True,directional,True,3.0,3.0,0.053650661769301985,315.0,4.0,0.18511602980387581,0.035625219457915004,0.23790147760540203,5.0,True,3.0,0.46073346061414194,0.33491576294423,1.52825107103966,2.129169764761585,2.7130512993084084,1.341542188405565,0.49225841009196447,3.734709347044898,-0.14025760292392245,113.4,0.20156137511410321,0.05396602761776022,1.322395463777616,0.48933076605148323,1.229538320920473,0.09285714285714287,-1.229538320920473
20,False,True,directional,False,8.0,1.0,0.031867036380192115,252.0,2.0,0.1614638310285222,0.0,0.41263047334450437,4.0,False,5.0,0.3372302617916265,0.3508569502246858,2.1593989264392093,2.5207265506448513,3.8892312374617988,1.4638320043432635,0.6079223133682972,3.7371628487230466,-0.1117150924965273,81.0,0.15077480348105815,0.041412855127197654,1.6161218881349992,0.48374339598662247,1.6161218881349992,0.0,-1.6161218881349992
21,False,True,directional,False,8.0,1.0,0.031120415883667887,252.0,2.0,0.10962314373579216,0.0,0.3737215692923977,4.0,False,5.0,0.3372302617916265,0.3508569502246858,2.1593989264392093,2.5207265506448513,3.8892312374617988,1.4638320043432635,0.6079223133682972,3.7371628487230466,-0.1117150924965273,81.0,0.15077480348105815,0.041412855127197654,1.6161218881349992,0.48374339598662247,1.6161218881349992,0.0,-1.6161218881349992
22,False,True,directional,False,7.0,2.0,0.062072596539503484,252.0,2.0,0.10683156371144013,0.0,0.4379920265322984,5.0,False,5.0,0.3224721355797937,0.3345798697256329,2.0321962445572295,2.4350429382927006,4.262414454032305,1.4300702357378545,0.5938335559866077,4.108968235176542,-0.10570342845036589,95.8,0.15132398887977389,0.03989924435937654,1.5940625842243403,0.48342119278205387,1.5710467112084674,0.023015873015873003,-1.5710467112084674
23,False,True,directional,False,7.0,1.0,0.0413115225364025,252.0,2.0,0.15607465774555496,0.0,0.12060479408042896,4.0,False,2.0,0.417523809192237,0.3931129875265551,2.2480686554251266,2.6773503219228285,4.245409357520546,1.4792326857597504,0.6195198988539672,4.51161585694699,-0.10816096571431677,79.6,0.15228423853571987,0.03956519602266053,1.682695357995601,0.48600566992582606,1.682695357995601,0.0,-1.682695357995601
24,False,True,directional,False,6.0,1.0,0.06315779388445927,252.0,3.0,0.1507560676618652,0.0,0.14232435864711027,4.0,False,5.0,0.47971927411042586,0.4080766588086931,2.2221653983364735,2.5420077012815536,4.344690874940723,1.4824769196034073,0.6221390750323463,5.107891241482285,-0.11023394753501951,83.4,0.15219728509839123,0.03942766790051205,1.6895472517551406,0.4864521181467535,1.6895472517551406,0.0,-1.6895472517551406
25,False,True,directional,False,6.0,1.0,0.06023503455881952,252.0,3.0,0.16723008935163833,0.0572995300614308,0.1607783844037726,5.0,False,5.0,0.3453279714099037,0.3246201949480031,1.8825053029843144,2.230512290882604,3.5371568009963084,1.3914165637322704,0.604280179624691,3.7651255727233575,-0.11447665722731863,84.0,0.1537017450816776,0.043401877751620174,1.5379109026755373,0.48414028518656826,1.5379109026755373,0.0,-1.5379109026755373
26,False,True,directional,False,6.0,2.0,0.06563101597869168,252.0,3.0,0.14130444664356215,0.0,0.1040968463747376,4.0,False,5.0,0.4517600971223361,0.3844143032416091,2.0840965981826445,2.3839052459921426,4.042059810125055,1.448701099139323,0.6172752438477633,4.749192538425605,-0.11100801685590052,86.0,0.1535892907565561,0.040254846424275945,1.6359645836780656,0.4863088401281024,1.6359645836780656,0.0,-1.6359645836780656
27,False,True,directional,False,8.0,1.0,0.052872086367161925,252.0,5.0,0.12339351524158151,0.02090707121801749,0.2384990121376171,5.0,False,5.0,0.33654206640903883,0.3903503626474968,2.3923709806291695,2.8579720489375413,5.269140450765964,1.5243335079068716,0.6059179558193571,4.543859081755228,-0.10501551658010452,69.8,0.15128554703024,0.039916776132310594,1.7220752896401852,0.48669353737266396,1.7220752896401852,0.0,-1.7220752896401852
28,False,True,directional,False,8.0,2.0,0.04722394558829845,315.0,5.0,0.052728416009618306,0.020294230370729967,0.3471321962194771,5.0,False,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
29,False,True,directional,False,8.0,1.0,0.03164180677940261,441.0,5.0,0.12284495623694454,0.020098640309602924,0.22982321288298962,5.0,False,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
30,False,True,directional,False,7.0,3.0,0.08958999201074078,252.0,5.0,0.09375685553413529,0.04306534297240441,0.4627350770984343,5.0,False,5.0,0.29965926077184596,0.3108485776588861,1.8984863494599484,2.2704157974651062,3.776937549415402,1.4048711101688311,0.5838622841727329,3.6392515703567425,-0.10851162834667187,82.0,0.15256020842168044,0.04125253758425795,1.526223711815021,0.4835057697525631,1.526223711815021,0.0,-1.526223711815021
