trial,d_period,k_period,long_only,overbought,oversold,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
11,7.0,15.0,False,90.0,15.0,0.03500729892843102,0.03810382713080857,0.06432609539640238,0.49547569093526284,0.20781766114920516,0.7137620124347747,0.8122390349084141,0.8223584723286577,1.203651593661791,0.31963807673221123,1.9085301622663764,-0.31620088258743095,213.0,0.2870104966152506,0.14077542925555314,0.7201572578623822,0.5163782133800158,0.1996602545922822,0.5204970032701,-0.1996602545922822
12,5.0,15.0,True,86.0,14.0,0.054591769690740755,0.11625495004525674,0.0,0.4389566614499776,0.21167836823247804,0.9215155317221662,1.0074570722993084,1.0178810724114062,1.241409028841915,0.31426324219257074,2.1122600700458856,-0.24724843095515103,185.2,0.24933134063826518,0.09182580432878458,0.7977441286113338,0.5170290227674491,0.4199663508335561,0.3777777777777777,-0.4199663508335561
13,5.0,14.0,True,73.0,25.0,0.07233648769537732,0.036106481008229684,0.05868594263341625,0.6019133570179553,0.2724165382499353,1.1308417602486827,1.6499024511812095,1.4336659068479427,1.2527707283937854,0.4264331138650796,3.2462109260937466,-0.24696773050711207,206.6,0.23809328552506956,0.09754673343558341,1.063976594569397,0.5069678163037874,0.6012781818709845,0.46269841269841266,-0.6012781818709845
14,4.0,14.0,True,75.0,12.0,0.0783066165320194,0.027137086243468063,0.0762292654253677,0.5450280075304754,0.255455470150318,0.9826668224183239,1.04081880801176,1.0823038710962263,1.2486908575081048,0.3758129535673878,2.322642066737715,-0.26952224285857235,188.6,0.27189179019130993,0.11263393809793269,0.8830467900473873,0.5151538609699011,0.491776948777546,0.39126984126984127,-0.491776948777546
15,5.0,7.0,False,87.0,17.0,0.02827847638066054,0.14846715149500442,0.0,0.24014887802779944,0.11294179910400451,0.5267170670587558,0.5974026636564742,0.6059194623037027,1.120063108933923,0.3988773949533937,1.2888700771524884,-0.2693722303041645,214.8,0.2877774877205076,0.12043837510748738,0.6383952643108279,0.5217012547438791,0.14315716907273263,0.4952380952380953,-0.14315716907273263
16,4.0,5.0,False,77.0,16.0,0.04435567023006118,0.12712434552667062,0.07256333869789444,0.27485407775749315,0.13166403146120054,0.6049679489144145,0.8063552978985731,0.5801328474476936,1.1170790366959291,0.4933879455545026,1.2122146879515268,-0.24255942418943405,179.4,0.24621361993632673,0.10565020587185199,0.7173770797032709,0.5092664879979442,0.36261517494136614,0.3547619047619048,-0.36261517494136614
17,2.0,9.0,True,73.0,13.0,0.07847414477054203,0.06883541165916662,0.04412328264546246,0.6915982264130258,0.2946019234224557,1.0794748056161345,1.4486062384358778,1.6535127457780958,1.2470370785539064,0.4817565126955385,3.8466815617536683,-0.29893846049150924,182.4,0.2641942565501884,0.11943345407526988,1.1195970978494387,0.501422691420175,0.752930431182772,0.3666666666666667,-0.752930431182772
18,7.0,16.0,True,83.0,17.0,0.042115574732049285,0.04100961199079648,0.0739941970555948,0.8116095211462181,0.34505128639653804,1.253650485965189,1.4482203632355186,1.5480559800914855,1.391057795734344,0.31563146776333395,3.6319277636780596,-0.26179476105190086,174.0,0.24573537315732188,0.0987732389617548,0.9528937321229383,0.5208253161955418,0.619560398789605,0.3333333333333333,-0.619560398789605
19,6.0,14.0,True,75.0,15.0,0.0784399933530296,0.11413056518930345,0.0,0.8010071754064683,0.3497005289309032,1.2683077664476077,1.5146913983484303,1.4153547302979947,1.3454046139861484,0.34233415919881277,3.2168342190882186,-0.26018710176482795,165.2,0.2563398061901369,0.0966896826034506,0.9787214176245814,0.5169981980848183,0.6803087192118831,0.29841269841269835,-0.6803087192118831
20,7.0,5.0,False,84.0,24.0,0.06869258633536544,0.05868967731892456,0.0,0.6957460158075471,0.2921644363936731,0.9386191246853999,1.0582888453019128,1.687829939668378,1.2748909270253908,0.33543674839898324,4.027943410843484,-0.2524170595226174,142.2,0.29577235728148005,0.09787450136935857,0.9068063499998941,0.5223233782017823,0.699663492857037,0.2071428571428571,-0.699663492857037
21,3.0,9.0,False,84.0,24.0,0.05173428813601316,0.10143482641043804,0.0,0.2774553704114161,0.12972569678132304,0.6834359650216141,1.0003173031854726,0.8270093107611916,1.1460865654254602,0.5122312037387335,1.7703535509516797,-0.24053075497196857,216.6,0.23919884744479075,0.11060868851273054,0.8496548863944288,0.5069202250896742,0.3472739340134764,0.5023809523809524,-0.3472739340134764
22,3.0,6.0,False,87.0,26.0,0.0675349247171337,0.08602359050533129,0.05391326732126934,0.32320391033799956,0.14985223005924497,0.6622639104706802,0.9548542519645965,0.6966553810925371,1.1343174543101484,0.48638951221861115,1.4924833798295158,-0.2523715886315768,210.2,0.24573251775119265,0.0991219053036246,0.7894467519129872,0.49764799739816645,0.31246262492886023,0.47698412698412695,-0.31246262492886023
23,7.0,10.0,False,83.0,22.0,0.05889222527526638,0.06802489460883672,0.0,1.154256770960745,0.4658570199988706,1.4674745623440297,2.0391252652859384,2.9105638916668175,1.3689116738334126,0.4800652014906686,7.325054805053702,-0.21926620657805684,153.2,0.2796663804688633,0.08397228368327224,1.343634332008882,0.5229841032804713,1.0928406812152311,0.25079365079365074,-1.0928406812152311
24,2.0,21.0,False,82.0,27.0,0.05873563993809346,0.053675422040420424,0.0,0.2057547994288708,0.08042974610201323,0.31375171303671406,0.6663793237545115,0.5045367305944651,1.1007209373887386,0.5062338984492742,1.1377532423962538,-0.29304617708971403,304.0,0.2654023581100751,0.16555814492609813,0.5751154005556559,0.509566557228865,-0.2740909486506933,0.8492063492063492,0.2740909486506933
25,3.0,10.0,True,77.0,22.0,0.048206780472428434,0.07609177731981395,0.04099493800377947,0.993290310439394,0.4310968051957449,1.4895934417754746,2.223846364692902,2.4271834000133015,1.3602971133763362,0.47882539036176686,5.652484164536799,-0.21978603012395043,159.2,0.2669232417073032,0.08363181562152103,1.323484694951661,0.49907261897551525,1.0488815203484865,0.27460317460317457,-1.0488815203484865
