trial,cci_lower_band,cci_period,cci_upper_band,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
10,-135.0,29.0,195.0,True,0.028782732759737632,0.025363846458218653,0.0,0.26952084804989646,0.12330668528496347,0.6705938687119668,1.0116965760618464,0.6420215955786404,1.141794202211952,0.4375419119654021,1.408912149188081,-0.27981229319621753,204.8,0.22076577642990297,0.11138782103895913,0.7586954491976025,0.49065272581465125,0.30313989364204685,0.4555555555555556,-0.30313989364204685
11,-125.0,30.0,110.0,False,0.03154632192292572,0.033627980216040916,0.06432609539640238,0.08816301530295496,0.030297629007767245,0.2632792040929157,0.5487332080919171,0.9749986204414652,1.0702271060362798,0.45470135482728563,2.2398552238775746,-0.19531144584359,322.0,0.1482716981783893,0.10294810233919158,0.5867193120172404,0.4919283321333273,-0.3339156086176802,0.9206349206349206,0.3339156086176802
12,-125.0,26.0,105.0,True,0.05263729043618236,0.11490514804706702,0.0,0.26592848618963505,0.12493912112137653,0.647104751637614,0.981165269054274,0.5497465133544905,1.1386631469859119,0.4570230952071011,1.178370846840047,-0.2790233816732782,317.2,0.2269106339788287,0.11500401655143713,0.7230233931106914,0.4883642469322644,-0.17856390847661008,0.9015873015873015,0.17856390847661008
13,-130.0,13.0,170.0,True,0.07174698674886787,0.03155074024855887,0.05868594263341625,0.546630826919883,0.23660503920805026,1.1345100289413375,1.6635748683380602,1.474443838033554,1.2452920215486012,0.5052024365449109,3.511600740274144,-0.25732935569667575,175.0,0.20673205843012193,0.09129606269687254,1.1476720784949968,0.4917481417561652,0.8103704911934094,0.3373015873015873,-0.8103704911934094
14,-130.0,15.0,95.0,True,0.07817635626525166,0.022222569693206785,0.0762292654253677,0.43901625773082975,0.19694106572382783,0.9410358403152566,1.2732227235923597,0.9281210489223556,1.2028412281256275,0.49225920561315395,2.0827591983431026,-0.2591429701515129,200.0,0.2141590571999334,0.09815262610786349,0.9571728488434124,0.4885732205272414,0.5206649123354758,0.4365079365079365,-0.5206649123354758
15,-185.0,27.0,120.0,False,0.024299897640711356,0.14840583755480458,0.0,-0.014134805808038942,-0.022409674084153775,-0.04705715774731871,0.08185742517389763,0.49950568523316463,1.005162874697673,0.4478189806694708,1.1904987923187746,-0.27936595275197984,289.4,0.16911067632479806,0.15420550207820538,0.2734297165161989,0.49339653627746893,-0.5178401247536424,0.7912698412698412,0.5178401247536424
16,-200.0,17.0,115.0,False,0.04161379870929666,0.12620931934773746,0.07256333869789444,-0.0703438929780077,-0.0521602656644349,-0.27004581080197554,-0.2858577454373138,0.2541206484200423,0.9701804045060376,0.4551535932222602,0.6612416723881889,-0.3102384656112196,374.0,0.16288427655375987,0.19016616533469216,0.4610822509453637,0.5034335993707845,-0.6863788072612024,1.147461058206566,0.6863788072612024
17,-170.0,13.0,100.0,True,0.07835677129135295,0.06558882812553328,0.04412328264546246,0.17130669739154808,0.0763523562957735,0.3542903553900227,0.4066521154431955,0.2125213738390673,1.0830099770352328,0.44800181808934525,0.4695334227679382,-0.3700033981896067,350.0,0.24674371309702373,0.16486301312805313,0.3928676890622205,0.49320289119993016,-0.7788851390630249,1.1717528281252454,0.7788851390630249
18,-120.0,23.0,120.0,True,0.03920138817297616,0.03664999647042834,0.0739941970555948,0.4148065554060009,0.19052277027353104,0.9113972280042958,1.3718275046500503,0.9387955795723473,1.195815624918425,0.4719674580364844,2.074064411812727,-0.25541287405328517,206.4,0.22435152018784738,0.0933143506769398,0.9480844405875005,0.48880980626192744,0.4861796786827386,0.46190476190476193,-0.4861796786827386
19,-135.0,15.0,110.0,True,0.07831999284172418,0.1126957877968756,0.0,0.37581253841111895,0.16997044477755557,0.8521993632659314,1.210225567825753,0.875701901377558,1.1798173086535897,0.48291852092101495,1.950838824530494,-0.2559740749129191,213.2,0.21352863533025382,0.09940951184929413,0.9128808508816622,0.48782240918130065,0.42399196199277334,0.4888888888888888,-0.42399196199277334
20,-85.0,10.0,135.0,True,0.012320937904879876,0.05021074778170086,0.0,0.6676860783751772,0.28295983437127176,1.3309161022392322,1.6938403758910954,1.361747088646311,1.294070717117135,0.5456806673206731,3.230204102045321,-0.27295469601907485,199.8,0.19536234394042265,0.09650335067641466,1.2021652914874101,0.4886693557587443,0.7664510057731244,0.4357142857142858,-0.7664510057731244
21,-85.0,22.0,85.0,True,0.05252985919616277,0.14909727498911002,0.0,0.7623857498364446,0.32890510282407087,1.4761282621569844,2.1769308631523607,1.7311784500648666,1.3330342914328237,0.5218675368654297,4.056819282164736,-0.2181634623007683,132.8,0.20949717550998162,0.07308964326763837,1.2966487568071914,0.4943209186243088,1.1268074869659215,0.16984126984126988,-1.1268074869659215
22,-80.0,10.0,185.0,True,0.04847478187857982,0.14665797257235283,0.0668414367669912,0.647484050135964,0.27511151389553834,1.2948233235015367,1.6196739387605352,1.272825161984743,1.2875465133346973,0.5493747031652301,2.9902261212460766,-0.2753921326633255,196.0,0.19418407579522085,0.0924041826266821,1.1749239915143908,0.48777809528947147,0.7542890708794701,0.42063492063492064,-0.7542890708794701
23,-95.0,19.0,80.0,True,0.020078759319467086,0.137274542406746,0.0,0.5349104550304224,0.2320528650499832,1.1100213613378778,1.708626158423914,1.1643378546126004,1.2469216258316425,0.5144879163989164,2.7195535771603505,-0.2551122609694831,141.0,0.20785998827327087,0.08993069759302054,1.0992294545945234,0.4892702970567626,0.896848502213571,0.20238095238095238,-0.896848502213571
24,-90.0,23.0,175.0,True,0.0379249440595984,0.14030288471961933,0.0,0.8663242633828784,0.3734379462807223,1.7100283126564484,2.553662230008304,2.0672827602015724,1.3759187553768801,0.5231288071369221,4.8303415351186905,-0.20252239153393617,112.8,0.2029397370915081,0.06389554235773973,1.3935683870336786,0.496262912100313,1.3030921965574882,0.09047619047619046,-1.3030921965574882
25,-110.0,23.0,175.0,True,0.03764615417415748,0.14936747121617655,0.0,0.521329531226088,0.23020858325806715,1.071307430855035,1.5873815586523587,1.2112393436741007,1.2323338792955696,0.48977614143150233,2.80436978685503,-0.2566479807718989,177.8,0.21356207610949932,0.09547949766496032,1.071655981823084,0.49100756653666194,0.7232432834103855,0.34841269841269845,-0.7232432834103855
26,-85.0,22.0,80.0,True,0.046184244282501875,0.14012922832090288,0.0,0.7623857498364446,0.32890510282407087,1.4761282621569844,2.1769308631523607,1.7311784500648666,1.3330342914328237,0.5218675368654297,4.056819282164736,-0.2181634623007683,132.8,0.20949717550998162,0.07308964326763837,1.2966487568071914,0.4943209186243088,1.1268074869659215,0.16984126984126988,-1.1268074869659215
