trial,displacement,kijun_period,long_only,senkou_b_period,stop_loss_pct,take_profit_pct,tenkan_period,trailing_stop_pct,use_cloud_breakouts,use_price_cross,use_tk_cross,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
10,28.0,27.0,True,57.0,0.07804619487086059,0.14593024020201817,9.0,0.0,False,True,True,0.9007369704410001,0.42581108883664404,1.8738412651975889,2.4214863975539784,2.462180001747744,1.409786593093371,0.5774937379877965,5.179444179002961,-0.21761067995557132,150.6,0.18810137610075423,0.08033584706638318,1.5049681237941432,0.49352083309577477,1.2644919333179527,0.24047619047619045,-1.2644919333179527
11,27.0,24.0,True,59.0,0.07951652709641788,0.08301516344943292,9.0,0.044193224681858746,True,False,False,0.43143688482451753,0.20908112276477678,0.752806721653597,1.055262347960586,0.8160693527387011,1.1717935342121106,0.5333205838604261,1.6608181583872423,-0.3329862973027581,237.0,0.2344620478160649,0.15987695776117378,0.878229104273843,0.48477409424215157,0.22892317633499348,0.6493059279388496,-0.22892317633499348
12,28.0,32.0,True,56.0,0.06442498557981145,0.13279051185197172,9.0,0.06436416596353278,True,True,True,0.8124376843040124,0.37690819517660007,1.6093023120251106,1.9366126472444367,1.7027452798510598,1.345802152100865,0.5891475935610901,3.574967884429237,-0.23951999719943123,174.6,0.18199232103887247,0.08495958953096107,1.3497762132179671,0.4912616653654537,1.0140619275036815,0.3357142857142857,-1.0140619275036815
13,25.0,34.0,False,45.0,0.07035016287750905,0.13938898296283012,8.0,0.0,False,True,False,0.5007496386963382,0.25220751285979565,1.7460847145918272,2.7009426224895554,2.9304764519672815,1.3894266181395571,0.5394945311318406,5.758406912583645,-0.09274334936885176,102.6,0.12734724681117268,0.02966466632591972,1.4884053787007856,0.4907064068959362,1.4384053787007856,0.049999999999999975,-1.4384053787007856
14,32.0,29.0,True,58.0,0.04990099569616256,0.06992188190027468,15.0,0.04068386759790978,True,True,False,0.6219381415760841,0.3047041861914799,1.3281215451519728,1.6705435886000224,1.3245876708211064,1.2952275501481338,0.5680049741480417,2.663615809006551,-0.290668566596887,204.0,0.1938648859895547,0.11994588262425529,1.1965192803295952,0.4897272888363601,0.7441383279486429,0.4523809523809524,-0.7441383279486429
15,30.0,23.0,True,58.0,0.04422248392832458,0.13715303601455825,10.0,0.04817137008040649,True,False,True,0.662652113029003,0.32018798990025704,1.370541625574182,1.6750035967882664,1.552336783055992,1.302301610783752,0.5732682508048764,3.1834917073346136,-0.27414111320718665,193.2,0.19339573278212127,0.1092305251916503,1.2507248642535085,0.4929087551017595,0.8412010547296991,0.40952380952380946,-0.8412010547296991
16,22.0,24.0,True,40.0,0.05457260183768086,0.08793942776642741,11.0,0.0726797905685346,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
17,24.0,22.0,False,45.0,0.045864289615171513,0.14788727737459664,10.0,0.0,False,True,False,0.5098252469707907,0.25734199886118286,1.8913625210412157,2.973170010391316,2.858255076901442,1.42505343630353,0.5403249595288515,5.64314240600696,-0.09796086392463747,125.8,0.12198790070035241,0.0304143828866143,1.5210679530768154,0.49329622131904555,1.3790044610133234,0.14206349206349206,-1.3790044610133234
18,29.0,40.0,False,61.0,0.06626592284214587,0.09143385869614938,10.0,0.045123075837054875,True,True,False,0.4176092264046581,0.22114221763503794,1.6863115073873711,2.448198736006429,2.298103313272132,1.3645186326957717,0.5417026237303958,4.310639084898787,-0.09500365299654563,100.8,0.11902400589474434,0.03064579526605011,1.412599002155344,0.4928527003865294,1.3697418592982011,0.042857142857142844,-1.3697418592982011
19,27.0,24.0,False,63.0,0.06161856476862013,0.08343782918687251,9.0,0.07903999590955668,True,True,True,0.4346422737386166,0.22782028654951855,1.9229178411205268,2.776341827316096,3.083112068814675,1.4453329283483265,0.5465397133486978,5.820368237272371,-0.07408983076600381,106.4,0.10548260079165162,0.024331568474479887,1.5392656792491408,0.4936534126827009,1.4741863141697757,0.0650793650793651,-1.4741863141697757
20,21.0,32.0,False,69.0,0.05861963211747043,0.11421616067829857,13.0,0.0,True,True,True,0.39599298182439113,0.20679766848537667,1.7662071667910024,2.608349118141146,2.8138411061851616,1.3906297932832077,0.5454625824618763,5.345928124266146,-0.07839899644230819,89.2,0.10662890934824334,0.02484985462976362,1.4835259723203424,0.4912237476406765,1.4835259723203424,0.0,-1.4835259723203424
21,25.0,32.0,False,66.0,0.059669141884838836,0.061885809635033553,13.0,0.0,True,True,True,0.3821173521716882,0.2030778651190977,1.73395562579923,2.534503583763928,2.714145970201216,1.3882087072238916,0.5451987051395439,5.072069846709364,-0.09321279334921802,109.8,0.10932611889044556,0.03221621375398909,1.4664852318023962,0.4911762749174954,1.3879138032309677,0.07857142857142856,-1.3879138032309677
22,34.0,34.0,False,53.0,0.04002718796838576,0.10110318054255625,12.0,0.0,True,True,False,0.4739719719737967,0.25001658058646253,1.8707567263638698,2.771915977014109,3.2566647126340955,1.4222279935527182,0.5471527533161622,6.141417547783042,-0.08111210531441919,95.0,0.11769017602632845,0.02516295120940317,1.5400564247540691,0.49110798881134327,1.5202151549127993,0.01984126984126984,-1.5202151549127993
