trial,af_step,atr_period,atr_threshold,initial_af,long_only,max_af,stop_loss_pct,take_profit_pct,trailing_stop_pct,use_atr_filter,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
10,0.030356518582787533,14.0,1.4003528332640989,0.03210601285936808,False,0.29095608933781814,0.0507329901484215,0.05412603573709127,0.0,True,0.6969712629881928,0.2955241275654743,1.3808026885407512,1.9591344952340681,1.6204040699631843,1.297450405614286,0.5189548949897371,3.733659577605009,-0.19017628667314188,140.0,0.1827335805452952,0.06552889985592061,1.2455105097557146,0.4809005025524722,1.0470978113430163,0.1984126984126984,-1.0470978113430163
11,0.02883318412000465,12.0,1.4436318892371829,0.034757222207117244,True,0.1511448076654065,0.05231218395595755,0.06048306170464686,0.06432609539640238,False,1.1589899289089463,0.4522859368621896,1.7710114178621388,2.313304081343016,1.9561784833860856,1.383726073820117,0.5845896106103524,4.966088304548016,-0.25169967468171184,141.8,0.20283297376873682,0.09017473958351814,1.4483007784198696,0.4967219822397402,1.2427452228643139,0.2055555555555556,-1.2427452228643139
12,0.034492205866844365,12.0,1.164632545414467,0.034424985579811454,False,0.14337393517141486,0.06436416596353278,0.1230039600362054,0.0,True,0.6023395096341548,0.2686960699611038,1.5371550119863258,2.2811625886601,1.7805698093636413,1.3238159801196132,0.5291735576844807,3.980452144805158,-0.16274465128065263,143.0,0.15971873189416824,0.05499006166888572,1.3195797006930743,0.48463585876842996,1.109262240375614,0.21031746031746032,-1.109262240375614
13,0.022206764558156893,18.0,1.2007456186870782,0.01689084018777666,False,0.2764199621396225,0.043554073922633496,0.09671485658354062,0.0,False,0.7331694201808463,0.32085110901258973,2.046872952306837,2.953826205387427,2.9657852603115007,1.457352882813492,0.5604863173935251,6.793778970034117,-0.11514574898826627,99.4,0.14075735418594287,0.03325348740350668,1.5865432132642032,0.49530713403937404,1.5492416259626158,0.03730158730158732,-1.5492416259626158
14,0.02770318123047144,15.0,1.2137617996462806,0.019900995696162563,False,0.29478958932929045,0.04068386759790978,0.14057316356341926,0.0,False,0.667843232859213,0.2958373594513036,1.9933923064861325,2.87087892648415,3.0040841963568248,1.4434332587085699,0.5644873688232084,6.7955209489268755,-0.11657507532325433,103.6,0.13321556131884327,0.03477014047153544,1.5813067645269634,0.4956367614111209,1.5273385105587094,0.05396825396825394,-1.5273385105587094
15,0.036018078862178386,12.0,1.4527160455711523,0.03461465309902406,False,0.2714511911434627,0.053394403775523236,0.07042842520101622,0.07950948847840142,True,0.549079714234975,0.24579599351528966,1.1984422019398717,1.5945443169816793,1.073088511481552,1.2492538680031586,0.508812426412566,2.3528709877552005,-0.2321789184306616,200.6,0.19194004777361232,0.07922257022834958,1.074441644952881,0.4805300356356918,0.6355527560639922,0.4388888888888889,-0.6355527560639922
16,0.01568509803516192,12.0,1.0275955594587143,0.010363198501371454,False,0.16208761725872758,0.0580650278338838,0.1316994764213365,0.07256333869789444,False,0.8147714342519385,0.3482115082399143,1.948476660033571,2.8307321794973332,3.0880626917621425,1.4316681549379742,0.5535727737130649,7.199212306227713,-0.12809071011735362,116.2,0.15481353113557167,0.040039934715864416,1.564883287799787,0.49188870648316085,1.4609150338315329,0.10396825396825397,-1.4609150338315329
17,0.021978402707844465,11.0,0.9641725367547027,0.01612471786876185,False,0.295305060832437,0.05402733173093332,0.06030820661365616,0.0,False,0.6982380057976426,0.30768612742167234,1.9855554791404366,2.9202565488661065,2.8921531239583063,1.4379491384807985,0.5543778920565512,6.576597874301553,-0.11459727594330726,104.8,0.13983099006281785,0.03363387517457629,1.5612196562296177,0.49402045314604026,1.502489497499459,0.058730158730158716,-1.502489497499459
18,0.04939908836412562,20.0,1.2788207381211367,0.03626592284214587,False,0.18343253763707473,0.045123075837054875,0.13498549263898701,0.0,False,0.6928175795718838,0.30593278616329167,2.1855697428904746,3.246974597216306,3.482881210952745,1.5046001383815433,0.5609003396528778,7.890984337638177,-0.1101679554201838,86.6,0.1267843714418595,0.03251958470348126,1.6543293062840165,0.4970139170815188,1.6543293062840165,0.0,-1.6543293062840165
19,0.017883553923100662,13.0,1.347961031888955,0.03161856476862013,True,0.14596715920180067,0.07903999590955668,0.12130445215144277,0.0,True,1.2544645433857946,0.4733948355760753,1.3685373965009997,2.2134460885937157,1.7829148486521398,1.3240270490454953,0.5119895765404296,4.711694022928105,-0.290041915497996,200.0,0.2785920515632454,0.10739580425906273,1.2864370335315403,0.4870487648326828,0.8499290970236038,0.4365079365079365,-0.8499290970236038
20,0.010475763505096453,21.0,0.8388280591663255,0.04928326983496609,False,0.20961926116846352,0.04443938620761159,0.08332547066453452,0.0,False,0.670995791102236,0.2955942497217612,1.9473457866474184,2.819911757637692,3.139807521031097,1.4381202695461737,0.5531416172454116,7.138307311822882,-0.1133260854444268,103.0,0.13621523400750055,0.034044256563744144,1.5666090730464597,0.49540768248307304,1.515021771459158,0.051587301587301584,-1.515021771459158
21,0.04278838019943516,21.0,1.2619852603687458,0.04489450750389216,True,0.21972236282944835,0.04700316922686923,0.14829794750633027,0.0,False,1.3212943443083573,0.518954651356968,2.1808152250627177,2.835031002189574,2.5698816663500876,1.4705694985564493,0.5939645571168857,6.569603671635056,-0.220700830949008,127.4,0.19261033044926018,0.06759137956421106,1.6145421103825641,0.49844289243065987,1.4661294119698658,0.14841269841269844,-1.4661294119698658
22,0.025158238225745574,20.0,1.102453087436878,0.026178047205350947,False,0.18617641802215706,0.04842623981854097,0.10793498556207959,0.0,False,0.7421729793243675,0.3239771750658774,2.06808262827104,3.0028689975405074,3.122524655833746,1.4742619666948324,0.5661091383903505,7.10680859096685,-0.11500289615691894,79.2,0.1388580720388632,0.03166564477880761,1.6119206105425157,0.49588779312091785,1.6119206105425157,0.0,-1.6119206105425157
23,0.010080060696829275,18.0,0.8064821988113943,0.022601161985197668,False,0.2288412350090506,0.061444302753084656,0.08311808230190883,0.0,False,0.7104871730103177,0.3107553252386543,1.7947063355767,2.514262909955733,2.726270838755705,1.3947370592457473,0.5551671501383983,6.2353329822351276,-0.13091347173135764,112.6,0.155252575049793,0.04401167701852031,1.4998713074021919,0.4921301016391585,1.4101887677196523,0.08968253968253966,-1.4101887677196523
24,0.02070144180348065,20.0,1.0926515209683483,0.04496322682168358,False,0.2555578701818072,0.056927291196906496,0.0725401749003664,0.0,False,0.6613193080895795,0.2938790251506215,2.0372908004409904,2.949388817142097,3.02745120783064,1.4614382695405586,0.5498728033134944,6.810037268380428,-0.12235924939947189,104.6,0.13010430178034413,0.03639640434192991,1.5748386952968525,0.4960784920841762,1.5169021873603445,0.05793650793650791,-1.5169021873603445
25,0.04944386615466349,18.0,1.2609648550948747,0.049183458913232204,True,0.18746794990425975,0.06953004021725609,0.1482373664445804,0.0,False,1.3161508035628302,0.5143539123406438,2.191343512800627,2.801852998684103,2.956535216390562,1.4800315265459385,0.597609645716593,7.68992440475523,-0.2200817100771535,155.8,0.19001743407200097,0.0730620259697189,1.6526575771695386,0.49744698060476455,1.3915464660584274,0.2611111111111112,-1.3915464660584274
26,0.018680443278207972,17.0,0.8766733888306144,0.026724318900295835,False,0.1865580126202625,0.040072735112831014,0.10805615479418916,0.0,False,0.733551875941721,0.3200984169195914,2.0556819210158426,2.9914709410795806,3.3143803827331135,1.4590975961966053,0.5629199073169409,7.613897639455386,-0.10620488451063408,83.8,0.13902790563303058,0.030402018331157455,1.6148126315118532,0.49731028573146974,1.6148126315118532,0.0,-1.6148126315118532
27,0.013360488044443024,20.0,1.115417910260033,0.041407691499225144,False,0.2312600435825841,0.059623053789286576,0.12007054228098608,0.0,False,0.6739657527787077,0.2970072090009096,1.9769402178873254,2.8058998776959756,2.8598238059755263,1.4445295535991405,0.5617013801268431,6.509621863614839,-0.11980028832140381,98.8,0.13653720201502903,0.03318864578428933,1.5632787725069934,0.49580793036206944,1.5283581375863586,0.03492063492063491,-1.5283581375863586
28,0.049516192968953994,16.0,1.4937194188197085,0.037524760289332444,False,0.25330264253826507,0.07188347995176028,0.06680916720336723,0.0,False,0.6859566328584232,0.30117187225501685,2.160299223716076,3.2559800390281444,3.5286633139660055,1.5070464848120362,0.5584567412551418,8.081175346123477,-0.11451386871256759,110.2,0.12564573337056467,0.03529926947889245,1.6522724531347535,0.4971419142773296,1.5721137229760234,0.08015873015873017,-1.5721137229760234
29,0.04350904312652129,19.0,1.0145172546849999,0.023209412612350336,True,0.24789517133479627,0.06689787940831032,0.08860002840200638,0.0,False,1.2174149163276202,0.4811021139648542,1.9409573466850798,2.5094139189589013,2.238370232311868,1.4237272343136864,0.5776540312658419,5.624766823403302,-0.23353535783940674,144.8,0.2009566468466189,0.08088007612933726,1.5106616477909116,0.4968844966018793,1.293201330330594,0.2174603174603175,-1.293201330330594
30,0.026168892271703575,17.0,1.0400797866774718,0.04711831227822603,False,0.11309242274042165,0.07910653174874427,0.14073322924798018,0.0,False,0.5813455464150641,0.2579749856136659,1.7274223907155537,2.557083475039775,2.752065797647302,1.3859436251050163,0.5429868659688688,6.173141323813221,-0.11976962634701545,126.2,0.13268120730739286,0.03784457894292713,1.4783719837444036,0.4945665330320573,1.33472119009361,0.14365079365079367,-1.33472119009361
31,0.03248418164358441,16.0,0.9225998113105034,0.036137634108280706,False,0.21242730303051766,0.07511090327869946,0.11414474162976657,0.0,False,0.5973279783588156,0.2685569367600096,1.9221029911608052,2.7904067274586017,2.6082459037658907,1.4259252325826588,0.5474285374119109,5.7944727146697605,-0.12328123506539687,102.2,0.12887642763626242,0.038275225338516974,1.5141446228186515,0.49523669220172045,1.465731924405953,0.04841269841269842,-1.465731924405953
32,0.024770927871235148,19.0,1.2652708530473316,0.03992073735005976,False,0.12444617216105935,0.06606914084160743,0.09025935525259754,0.0,False,0.629388821731259,0.27838252491787097,1.860419241587763,2.7363920690007992,2.769181793229077,1.4131040117875333,0.5470585101210996,6.2323155314773215,-0.11148932899416535,110.8,0.1319005804699507,0.03230815919559595,1.515094318461992,0.49533292313832894,1.4325546359223096,0.08253968253968252,-1.4325546359223096
33,0.0401447434148763,17.0,1.1429661758536118,0.02898810124039723,False,0.26132125961099495,0.06124861105871047,0.10361768245741583,0.054512569987891085,False,0.5948832279714183,0.26671330921697267,1.8933961078703454,2.746327521697879,2.7182984702408084,1.420414229920582,0.5551581815243316,6.062963333945832,-0.12445311999319122,114.2,0.1282931342522306,0.038659591261446746,1.5265639044862702,0.4956683022537554,1.430532158454524,0.09603174603174604,-1.430532158454524
34,0.015019432673397413,21.0,1.069609548869003,0.03268917192825218,False,0.18064746767531187,0.05553197899233742,0.07705281646509711,0.0,False,0.6386055804366713,0.28277758437550293,1.8182353568972585,2.6485423023384214,2.6617296958728316,1.4021803429797592,0.5572499981016306,6.001224621497336,-0.11257728090335554,90.6,0.14220121198940244,0.032625600113712336,1.5084549220468058,0.4943388203784219,1.5060739696658534,0.002380952380952358,-1.5060739696658534
35,0.019686072674281675,13.0,1.3145214499537468,0.026627854108129383,False,0.19542190678675078,0.04952081808324316,0.11484451536945592,0.0,True,0.821012364015767,0.3534752280428417,1.6562742967797441,2.5599504132096276,1.7713413684956094,1.3620960393413029,0.5230629334670571,4.07705397332668,-0.19936715596689122,146.2,0.18991026943036676,0.06508708702213584,1.3482555811241712,0.4835111028055456,1.1252397081082983,0.22301587301587297,-1.1252397081082983
36,0.03891979168418069,15.0,0.8010165421194111,0.020298625450868368,True,0.2353211225988418,0.07198901048571953,0.1315783118394288,0.05359886906975984,False,1.063837915282625,0.4248556512184125,1.7226826701542923,2.2240082628378373,1.9717433846510708,1.3667143629228105,0.5736210372786198,4.92375445040066,-0.23996566310076126,187.2,0.201325592690831,0.08460803725736692,1.423357859562925,0.49505954577765043,1.0376435738486394,0.3857142857142857,-1.0376435738486394
37,0.03259693231135656,10.0,1.2017864020546123,0.04248078031076523,False,0.1760688376714219,0.045401625022449855,0.06598917842612137,0.0,False,0.6627197045482467,0.29401910385823904,2.092921342325475,3.0423345009273297,3.327376560398677,1.4762807434556016,0.5580237703824853,7.49090063777723,-0.10685836645407916,88.8,0.12680708810972224,0.0321069424037705,1.6172748010265623,0.49644743170598327,1.6172748010265623,0.0,-1.6172748010265623
38,0.045470019680140104,16.0,0.965239507017206,0.03128243837539224,False,0.20112844062169324,0.07673663841748568,0.10362172525846378,0.04007294097690135,True,0.6595103721985358,0.28783533817639173,1.8662877259192556,2.804937176587198,2.5868346775029587,1.4120234598565502,0.5328354826179023,6.003745645472202,-0.1358964431100482,136.0,0.1383263134312561,0.04648122056072729,1.4886755626080843,0.4887281802439912,1.3061358800684018,0.18253968253968253,-1.3061358800684018
39,0.013395943354657798,20.0,0.9119100408822377,0.029607545786756187,True,0.22213116856096346,0.06324985319319514,0.09144386481930267,0.0,False,1.2430633842143775,0.48610098772262045,1.7673453310147966,2.4450459370570554,1.848890232590223,1.3771873493570639,0.5635143023505721,4.727447774607824,-0.2691692100095719,127.6,0.22177248049755888,0.08801676280602803,1.4191436724549624,0.4962598051311938,1.2699373232486133,0.14920634920634918,-1.2699373232486133
40,0.02273076247883386,14.0,1.359258969974673,0.03706885435857519,False,0.15734303992479387,0.041786440152561305,0.12761326691334896,0.0,True,0.7128078976489972,0.30004760298901867,1.3854339305975716,2.094623770892494,1.5681177733202194,1.3063706865118916,0.522187744792787,3.7032592207730675,-0.19691430485797828,156.8,0.18569306660314416,0.06778951073390539,1.253277478562139,0.47962653769141533,0.9881981134827739,0.26507936507936514,-0.9881981134827739
41,0.04696643004971218,18.0,0.8480958191567267,0.04027374674712752,False,0.10197785427759849,0.05156749178170991,0.08343715952215375,0.05370690542021917,False,0.6457938531476861,0.2858489508952916,1.8978604331930427,2.7816114391621793,2.8836805386715683,1.4361216513553827,0.5421936382924284,6.498315456088507,-0.12016936982393829,92.4,0.13547062912765756,0.03246176858510822,1.527589244229312,0.49525754074710726,1.5180654347055025,0.009523809523809547,-1.5180654347055025
42,0.027715982257629484,19.0,1.4975186712175803,0.024843287745922774,False,0.13670974616167608,0.06683134865579571,0.052015525221890346,0.0,False,0.7314819960104927,0.3184589606183398,2.039971440066161,3.0704346538232503,3.308339360755878,1.4595331828374958,0.544581801775297,7.5588405619232075,-0.10065240940855966,86.0,0.1363786882588513,0.02731129997827385,1.5907213853717779,0.4968154848177373,1.5907213853717779,0.0,-1.5907213853717779
43,0.03773963931517041,15.0,1.0003407120434908,0.033458149541507304,True,0.2674351730104227,0.058846244730396464,0.050055354856468205,0.0,True,1.10148084219244,0.4262841619310547,1.6351237796111087,2.107157903666784,2.429079775693379,1.367735050833733,0.553767986935892,6.372002637396596,-0.26903104778985715,217.4,0.21319561117299587,0.1153973253721448,1.4313972051627661,0.48978249270983654,0.9258416496072106,0.5055555555555555,-0.9258416496072106
44,0.033194022798583835,13.0,1.2870888920100263,0.04442685275132708,False,0.2815880762824989,0.05631662408024622,0.14400988004419818,0.07275725276384284,False,0.6335191173538655,0.2830809717120527,2.032667080700424,2.9696914340897886,3.084211675687105,1.4583598578103605,0.550682660537758,6.901270606405788,-0.11525550923257788,97.6,0.12688370128191684,0.03553615902964054,1.579170814831165,0.4970610850274485,1.549012084672435,0.030158730158730135,-1.549012084672435
45,0.016931526114471945,17.0,1.1719090089837838,0.01163134737430942,False,0.24050941927292557,0.07206171143766404,0.13549066641350763,0.0,False,0.6276519836696354,0.2764851387579539,1.640521626742559,2.3474099054829725,2.1437600775094827,1.3509474489527926,0.5487153092965269,4.8539819908455595,-0.13866573765885704,146.8,0.1506553945549281,0.04496467097612911,1.4049185855880753,0.49126853481638744,1.1795217601912498,0.22539682539682543,-1.1795217601912498
46,0.029918376533436687,10.0,1.2165497766375681,0.018473448870360155,False,0.1745973699013987,0.04241214540336889,0.0757796163737682,0.0,True,0.8484355819754363,0.35402168831817116,1.7132749844116517,2.5348072570328064,2.2871587102777324,1.3737972875270483,0.5424701490087822,5.470004181926853,-0.16109504538929903,123.6,0.17183183300873162,0.05599997241356249,1.439003334719951,0.48416920132005403,1.3056700013866176,0.1333333333333333,-1.3056700013866176
47,0.011174672048765773,14.0,1.3658723231263357,0.03624340699159135,True,0.20815913218699594,0.05453541946012966,0.09983206076396212,0.06000403466802604,False,1.3452441676439064,0.5213933972754354,1.9139872080902536,2.675347812083203,2.072673954020398,1.4131687673089517,0.5708308945546792,5.329864117235452,-0.2565938552851058,128.6,0.2187268962649282,0.08350974295077043,1.4903850902349192,0.4967392495859569,1.337210487060316,0.15317460317460316,-1.337210487060316
48,0.02031985187261673,11.0,1.4464279015825923,0.014521376550395914,False,0.1934744862048741,0.06477500752299145,0.06538400902747675,0.0,False,0.6726120284447905,0.29530416180116886,1.8111969654477378,2.635571572918971,2.3652376503097248,1.3956538088432935,0.5474362938619135,5.356382960271072,-0.12915261057554056,103.0,0.14420686339731795,0.0376950087202098,1.4690631162282588,0.49387687200465846,1.4174758146409572,0.051587301587301584,-1.4174758146409572
49,0.03501655353096872,18.0,1.234397566896782,0.02801492373049557,False,0.2868188621421669,0.06846625029752784,0.11619116223412446,0.0,True,0.7113959882926206,0.3034889895331032,1.5930180238024343,2.2819850787156835,1.8744364494625607,1.3421975649754097,0.531983366522549,4.310170017218046,-0.1729081522512475,138.4,0.16245453170798993,0.05777664427582753,1.3464198890746002,0.4853336694159295,1.1543563970111081,0.19206349206349208,-1.1543563970111081
