trial,kst_weights,long_only,risk_params,roc_periods,signal_period,sma_periods,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
31,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.06094312836872028, 'take_profit_pct': 0.11098674421626749, 'trailing_stop_pct': 0.03243711171987152}","(10, 15, 20, 30)",7.0,"(5, 5, 5, 10)",1.3326364980826746,0.546495681614892,1.872331835509985,2.451366957861292,3.2192562851806144,1.4356149239676428,0.572099522681551,7.932657997775989,-0.20916516422064121,166.0,0.21140534107577674,0.08290852664945356,1.5693519519440795,0.49189933258437896,1.2677646503567779,0.30158730158730157,-1.2677646503567779
32,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.04160917834270539, 'take_profit_pct': 0.14246668988440508, 'trailing_stop_pct': 0.040049371263734465}","(8, 13, 21, 34)",7.0,"(5, 5, 5, 10)",1.1185432629304422,0.47180077384672325,1.5328731619940872,2.2266146843304213,2.1729548662658322,1.3782799054228405,0.5611964911954616,5.192466198381297,-0.2428979803138734,205.2,0.22939079976432558,0.09820230715739804,1.4078820523653908,0.4950728825184501,0.9507391952225337,0.4571428571428571,-0.9507391952225337
33,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.031787436907420794, 'take_profit_pct': 0.07529553573492544, 'trailing_stop_pct': 0.034757591971143136}","(10, 15, 20, 30)",5.0,"(5, 5, 5, 10)",1.2578282011773532,0.5410271683741876,2.0993297295955546,2.6092971062518555,2.6243186341415092,1.4646500690272648,0.5957742668836468,5.950338922059388,-0.2072630541457235,124.0,0.20212918987119285,0.06682697317369544,1.5915366570577967,0.5001675977636586,1.4566160221371618,0.1349206349206349,-1.4566160221371618
34,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03157069095118916, 'take_profit_pct': 0.07639776336893044, 'trailing_stop_pct': 0.03450546573229313}","(5, 10, 15, 20)",7.0,"(5, 5, 5, 10)",1.3444296138606746,0.5221061961924196,1.7148653459718435,1.912709840054567,2.1893346723123868,1.4263879131153685,0.5944923336597938,5.488636745715719,-0.23843543404349368,137.6,0.21525775833354216,0.08272500858977642,1.4534573771886048,0.4944844140541729,1.264568488299716,0.18888888888888886,-1.264568488299716
35,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03082252687589277, 'take_profit_pct': 0.06424013060433197, 'trailing_stop_pct': 0.03106203542672001}","(8, 13, 21, 34)",9.0,"(5, 5, 5, 10)",0.870318729806127,0.4002370911301936,1.6760010548981483,2.1446719393634748,2.0704052807420625,1.3542235803658136,0.5696982562380465,4.41860400171859,-0.20990708852272683,136.2,0.1966771847768218,0.07312055299849549,1.4064734376979537,0.4955491837428735,1.2231401043646204,0.1833333333333333,-1.2231401043646204
36,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03677513570026983, 'take_profit_pct': 0.05496157333101983, 'trailing_stop_pct': 0.035896717297823906}","(10, 15, 20, 30)",6.0,"(5, 5, 5, 10)",1.4296217001355107,0.5860074768266904,2.0335703781688363,2.733523404788787,2.4214983979272406,1.4704227166148418,0.5747695539535084,5.832537984803667,-0.23034911388580728,164.4,0.20914538107244196,0.07817574241880657,1.5536402768673923,0.4973340023119876,1.258402181629297,0.29523809523809524,-1.258402181629297
37,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.020165410180561956, 'take_profit_pct': 0.07914807827590548, 'trailing_stop_pct': 0.03373597182514778}","(10, 15, 20, 30)",5.0,"(5, 5, 5, 10)",1.2578282011773532,0.5410271683741876,2.0993297295955546,2.6092971062518555,2.6243186341415092,1.4646500690272648,0.5957742668836468,5.950338922059388,-0.2072630541457235,124.0,0.20212918987119285,0.06682697317369544,1.5915366570577967,0.5001675977636586,1.4566160221371618,0.1349206349206349,-1.4566160221371618
38,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.020567828752681292, 'take_profit_pct': 0.06166154093299273, 'trailing_stop_pct': 0.0248217800057498}","(5, 10, 15, 20)",6.0,"(8, 8, 8, 13)",0.8156105622197074,0.3618646395301484,1.530297666392801,2.034479486300197,1.995252801892707,1.321560674488883,0.5611326234165562,4.463618843482466,-0.19549180803452754,158.4,0.19788007293984675,0.07290525385167232,1.3608503485858832,0.48716134611804723,1.0894217771573116,0.27142857142857146,-1.0894217771573116
39,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.034620706259937156, 'take_profit_pct': 0.07609393034138243, 'trailing_stop_pct': 0.03383050399889709}","(10, 15, 20, 30)",10.0,"(5, 5, 5, 10)",0.9874397324983863,0.43251325877551317,1.4691877089714056,1.7407295001168142,1.7657873917422218,1.3567950039980137,0.5596322176250537,3.944099259011355,-0.236128026659623,125.2,0.2326988498805525,0.08156880482298676,1.304659307104956,0.4925865300388616,1.1649767674224163,0.13968253968253969,-1.1649767674224163
40,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.028483195572581367, 'take_profit_pct': 0.04244551451219108, 'trailing_stop_pct': 0.031513912140988976}","(5, 10, 15, 20)",7.0,"(5, 5, 5, 10)",1.3444296138606746,0.5221061961924196,1.7148653459718435,1.912709840054567,2.1893346723123868,1.4263879131153685,0.5944923336597938,5.488636745715719,-0.23843543404349368,137.6,0.21525775833354216,0.08272500858977642,1.4534573771886048,0.4944844140541729,1.264568488299716,0.18888888888888886,-1.264568488299716
41,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.02252065065509241, 'take_profit_pct': 0.0890828573470114, 'trailing_stop_pct': 0.04420237088161099}","(8, 13, 21, 34)",5.0,"(10, 10, 10, 15)",0.8545080144679472,0.39424713922548615,1.5834776869288283,1.97922506664523,1.6460339668110024,1.344694345823719,0.5532090831358332,3.4924709769345528,-0.22706471854244242,146.6,0.21051135661264517,0.072602771280246,1.30949500595003,0.48832401146249094,1.0848918313468556,0.22460317460317458,-1.0848918313468556
42,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.040432831364015334, 'take_profit_pct': 0.07715262036893283, 'trailing_stop_pct': 0.04053534854815787}","(10, 15, 20, 30)",6.0,"(8, 8, 8, 13)",0.6230050128920317,0.29003640093352484,1.1914014308464727,1.3833852454007267,1.0639248973026476,1.2578034028564697,0.553664300758799,2.241136937345866,-0.2570430453082724,177.8,0.21322277608170648,0.09583467432500252,1.0811754521901709,0.4866185959460735,0.7327627537774724,0.34841269841269845,-0.7327627537774724
43,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.02034155165403131, 'take_profit_pct': 0.06854897450275986, 'trailing_stop_pct': 0.02000822499881341}","(10, 15, 20, 30)",12.0,"(5, 5, 5, 10)",0.8824450524033871,0.4030119947434079,1.5536938814249557,1.8502907925363796,2.002473067960039,1.3384008767654716,0.5724268640950204,4.3294385378153075,-0.19756653107990965,110.6,0.21919231313082865,0.07289945931530505,1.3609914906844285,0.4947897604621919,1.2792454589383968,0.08174603174603172,-1.2792454589383968
44,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03904581593737315, 'take_profit_pct': 0.06271178438338391, 'trailing_stop_pct': 0.042689842544112705}","(5, 10, 15, 20)",9.0,"(10, 10, 10, 15)",0.7110820125900325,0.31285632464420166,1.1474840697150868,1.3996985992699527,1.065754001216832,1.260205568969758,0.5514516176655408,2.3673026498232357,-0.272014063166394,158.8,0.2256600068899793,0.09739657838534418,1.0803894582864546,0.4893713205379561,0.8073735852705816,0.27301587301587305,-0.8073735852705816
45,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03444306281106652, 'take_profit_pct': 0.05285725073844755, 'trailing_stop_pct': 0.02296771978282873}","(10, 15, 20, 30)",11.0,"(5, 5, 5, 10)",1.1088889886035513,0.474017434999741,1.623024017394492,1.9867555925975064,1.9241309399254907,1.3824967515364253,0.5653600584126458,4.391097551564614,-0.2293371945251696,143.4,0.2286581266487458,0.07725508201072662,1.3764533457287957,0.4932433324253231,1.164548583824034,0.21190476190476193,-1.164548583824034
46,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.04768646348991064, 'take_profit_pct': 0.047358697362133315, 'trailing_stop_pct': 0.026302576022839107}","(8, 13, 21, 34)",14.0,"(8, 8, 8, 13)",0.8356563100740125,0.3800173406186945,1.3915229733588828,1.8509466148321443,2.1504735306620555,1.2993156061811033,0.5496186634399314,4.715731357583671,-0.1861762895944518,136.2,0.21864539994664609,0.07068912517081993,1.3259520597938819,0.48704003336479545,1.1426187264605485,0.1833333333333333,-1.1426187264605485
47,"(4, 3, 2, 1)",False,"{'stop_loss_pct': 0.02403668453627357, 'take_profit_pct': 0.05735096707949294, 'trailing_stop_pct': 0.028731943701941168}","(10, 15, 20, 30)",6.0,"(5, 5, 5, 10)",0.4342599473861073,0.21579214496083318,1.5804676063550835,2.309195974646815,2.5981872575550544,1.3355440788097697,0.5457280382944794,5.234811157966225,-0.0856783251072916,131.0,0.12050644413356615,0.03335193461576273,1.420837689540926,0.49576901871332807,1.2581392768425133,0.1626984126984127,-1.2581392768425133
48,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.02834054585104977, 'take_profit_pct': 0.08848891412102186, 'trailing_stop_pct': 0.02996965839138878}","(10, 15, 20, 30)",7.0,"(10, 10, 10, 15)",0.8899836489581491,0.40183794760531555,1.5104417505811791,1.9722443897715753,1.7168842766447798,1.3409056978211666,0.5491411433150652,3.7795052156945537,-0.2336088414736756,172.6,0.21726965938338597,0.08508082930340337,1.3092090003802188,0.4896324243623438,0.9814312226024411,0.3277777777777778,-0.9814312226024411
49,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.02964060946963198, 'take_profit_pct': 0.04040404407483429, 'trailing_stop_pct': 0.0370173567843749}","(5, 10, 15, 20)",8.0,"(5, 5, 5, 10)",0.26204564418765935,0.130404078397874,0.9533933016994757,1.4104741988617646,1.362035107344842,1.1928116442581118,0.5184047981959924,2.7408118509354953,-0.108540439906986,181.8,0.12718352022855162,0.048975767041247606,1.0668056499969663,0.4900930785616011,0.7025199357112519,0.3642857142857143,-0.7025199357112519
