trial,aroon_down_threshold,aroon_up_threshold,long_only,lookback,signal_smoothing,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
10,37.0,71.0,True,48.0,5.0,0.0507329901484215,0.06371343216338214,0.0,0.9744088993481717,0.39765629648682205,2.110771271931908,2.2475917855966236,2.722904852745045,1.4977497591081466,0.5582095275495927,6.637631095278429,-0.15486547749418708,123.6,0.15584487174630102,0.04378627929243919,1.5401587069822902,0.4904960971974721,1.4068253736489569,0.1333333333333333,-1.4068253736489569
11,38.0,72.0,False,50.0,2.0,0.05231218395595755,0.06943475553418217,0.06432609539640238,0.23856761034804658,0.10886466194438668,1.0814180666167927,1.2995931993992502,1.604203685905162,1.30323284550918,0.5160760269200948,3.47876166417237,-0.13479990672627476,235.4,0.08878581992985828,0.06551210301717797,1.1299380238997574,0.49322111690560233,0.5529538969156303,0.576984126984127,-0.5529538969156303
12,30.0,72.0,True,42.0,2.0,0.06436416596353278,0.12570356403258487,0.0,0.8781347061230491,0.3659006720022902,1.9762180500184954,2.124291005037004,2.3237968715674944,1.4481566863557476,0.5659235285446146,5.552821144435953,-0.18107005914132807,130.8,0.15871936001348638,0.05138659978188433,1.4834090383488119,0.49013997315218044,1.3215042764440499,0.16190476190476194,-1.3215042764440499
13,34.0,71.0,True,17.0,4.0,0.0752839924279245,0.06799666632592537,0.05868594263341625,0.8978139994352233,0.370974266328347,1.9035572915615622,2.107819798805069,2.4186654128994087,1.4246823702928566,0.5886395184654131,5.884180167307077,-0.19488205308545867,141.0,0.16674281896531898,0.059710049954429564,1.5060626988446917,0.4892931409997737,1.3036817464637394,0.20238095238095238,-1.3036817464637394
14,28.0,72.0,True,20.0,1.0,0.0789579178658581,0.061538702095297,0.0762292654253677,0.8885958161439073,0.36791918212333563,1.8834436246357982,2.0724531985362065,2.3855533422719697,1.4183109424919516,0.5882346635040845,5.78506068952167,-0.1934319724679671,139.0,0.1666650660982248,0.059312211243786196,1.4960440394645804,0.4895097326485187,1.301599595020136,0.19444444444444445,-1.301599595020136
15,32.0,62.0,False,44.0,2.0,0.04817137008040649,0.14889634907640317,0.0,0.17866954134886714,0.08250342438140386,0.831280386560692,0.9921951341212709,1.201479951010057,1.2196736447419494,0.5148426440330787,2.542745729982934,-0.13374450126892495,233.8,0.08546442069683483,0.06724989002364695,0.9679535081406216,0.49266802289561706,0.3973185875057009,0.5706349206349207,-0.3973185875057009
16,27.0,60.0,False,25.0,2.0,0.0580650278338838,0.13352952877920285,0.07256333869789444,0.20154727996377816,0.09405770090706704,0.9426561192140536,1.2192089396286439,1.0315470104094042,1.2439073652534034,0.5270257945024496,2.181110640250567,-0.1370849933629435,262.4,0.09027900256134529,0.067827600496037,0.9982871557360292,0.4942716059374835,0.3141601716090452,0.684126984126984,-0.3141601716090452
17,22.0,65.0,True,16.0,2.0,0.0790610121664874,0.09156149639459996,0.04412328264546246,0.873038266907705,0.3613796308369911,1.832265063552049,2.012307841940239,2.349244680401263,1.4068723953842002,0.5918900324922997,5.694504777802846,-0.1990790445166195,171.2,0.16869175129692895,0.0641255608072163,1.4835729199021144,0.488956419868249,1.1613506976798922,0.3222222222222222,-1.1613506976798922
18,38.0,74.0,True,36.0,2.0,0.05668650752741494,0.07152692063337346,0.0739941970555948,0.9034372918004838,0.37507901481101663,1.9914927122246588,2.1669013866772695,2.4253726077694173,1.4504521946371365,0.5720112049127514,5.85819029768831,-0.18999193418204463,136.8,0.1617092061778005,0.056329661235421116,1.5059140995236018,0.4899946108416581,1.320199813809316,0.18571428571428575,-1.320199813809316
19,36.0,71.0,True,20.0,2.0,0.07903999590955668,0.12417400693629849,0.0,0.8928752124366583,0.3698688393059292,1.898256867500851,2.09255934378388,2.3933640702477055,1.4214299221947058,0.588650301887493,5.800790360642454,-0.19343017557851455,139.0,0.16659399110370804,0.05883125293696032,1.501045695792304,0.4895745858865251,1.3066012513478595,0.19444444444444445,-1.3066012513478595
20,40.0,66.0,True,28.0,5.0,0.0478021779325655,0.0800970219458349,0.0,0.9210499052678726,0.38075224274677316,2.005700850779853,2.1889143179460198,2.4750339974911535,1.4538732157204142,0.5793110793412701,6.008534130144284,-0.19126431002915745,136.6,0.16281525265211336,0.05708548018432928,1.522882337597849,0.4898513582860712,1.3379617026772141,0.1849206349206349,-1.3379617026772141
21,40.0,67.0,True,26.0,5.0,0.04609374241230352,0.08315926905392546,0.0,0.9103068250662758,0.3765783876844509,1.9725205867095432,2.162152474383844,2.4541622232669784,1.444755566172465,0.580529766984536,5.95622389035155,-0.19158393090965015,137.2,0.16365124656095975,0.05758976004745224,1.5153223999052448,0.4897576641250259,1.3280208126036575,0.18730158730158725,-1.3280208126036575
22,40.0,79.0,True,29.0,5.0,0.05348555285169129,0.08161078346760688,0.0,0.9197299229464162,0.38089427292912953,2.012592525488732,2.2058687114492606,2.4677908317746615,1.4539839967178594,0.5760689015855233,5.9786589553245095,-0.18982116826948853,136.2,0.16222234805426133,0.056243386012366794,1.5203888086847333,0.48995203907484264,1.3370554753514,0.1833333333333333,-1.3370554753514
23,40.0,69.0,True,10.0,5.0,0.045679953712434856,0.0791164883338403,0.0,0.8528974035310363,0.3550549183980473,1.8086326202567906,2.0008449204633263,2.3032511175166106,1.3964142318118324,0.5943348698271258,5.555611118056352,-0.20030271464775332,171.6,0.16926651119334485,0.06470556641851848,1.4758213008310328,0.4883371236203134,1.152011777021509,0.32380952380952377,-1.152011777021509
