trial,ci_period,long_only,macd_fast,macd_slow,macd_smooth,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
36,29.0,True,14.0,29.0,10.0,0.06695146174916414,0.0749155664660516,0.04409049464814319,0.9916204843996219,0.4335483550169556,1.9990122986336119,2.313451715838272,2.7359256133718732,1.4398668835169182,0.6120897317926158,6.25929588811756,-0.19642529565480432,159.2,0.18102990656574397,0.06154802988415035,1.58477474794123,0.49002942131371025,1.3101715733380555,0.27460317460317457,-1.3101715733380555
37,25.0,False,15.0,33.0,10.0,0.07089201054522243,0.09709308521336585,0.06211951062424946,0.3031894525742787,0.14606943505385633,1.3924426521120652,1.7035429759880185,1.648974631942431,1.3911933609881875,0.5897069479261786,3.396929401595608,-0.08977408083439602,222.6,0.08181318105663606,0.04411156593254845,1.2985438477599214,0.4928987755996042,0.7723533715694452,0.5261904761904762,-0.7723533715694452
38,26.0,True,16.0,32.0,12.0,0.0636104690565629,0.10657872683263782,0.056883895685463384,0.923768310025574,0.40198883216164294,1.7958425574771808,1.9768840936204424,2.37401784292325,1.3987674139002197,0.6116001993193783,5.447903271582758,-0.20556046913123657,165.0,0.18285140443552508,0.06549903410391282,1.493487603099564,0.49012628272086334,1.1958685554805164,0.2976190476190476,-1.1958685554805164
39,23.0,False,11.0,34.0,11.0,0.06598836898318904,0.11896755332607858,0.06857525444007306,0.27971716552027787,0.13458993808740988,1.3892205486058007,1.6590294209197656,1.846836792870512,1.376717298987689,0.5927770216311075,3.803388279730348,-0.07693630198596088,196.6,0.07783862124951131,0.03707785176158405,1.3214926114416083,0.4933969804954109,0.8984767384257353,0.423015873015873,-0.8984767384257353
40,21.0,True,15.0,31.0,10.0,0.0725598798110028,0.09739031966099088,0.05025591636006278,0.930011845001282,0.40122245958098884,1.8585408233655751,2.089249886296134,2.4647502435098048,1.4059365878375552,0.6127402553633189,5.720293515183169,-0.19952729644002976,138.8,0.17937632967758704,0.06097367442110272,1.5226430115879497,0.49037834538045655,1.328992217937156,0.19365079365079368,-1.328992217937156
41,30.0,True,8.0,28.0,10.0,0.0685466263805618,0.10283298066095378,0.0,0.932264071527455,0.40906871139806905,1.8958446511418212,2.164398428855629,2.5984752364150965,1.4165488816690974,0.609518332955371,5.918721052771448,-0.20442844572300117,164.6,0.18027967944914003,0.0685231519311031,1.542468475046927,0.48995256933421594,1.246436729015181,0.29603174603174603,-1.246436729015181
42,25.0,False,12.0,28.0,11.0,0.07659160244312938,0.0857001503640074,0.06306187144941913,0.26139802092860764,0.12650431176608445,1.3078074837325988,1.6710246635810981,1.6892557537781818,1.383202499277628,0.5825728517010167,3.4739030899295087,-0.07888486804360753,214.0,0.0739193936644725,0.03806204784815046,1.2813956536774787,0.49252642150573517,0.7893321616139866,0.49206349206349204,-0.7893321616139866
43,26.0,True,13.0,35.0,12.0,0.07658984219688002,0.12251960844539331,0.046017879801665516,0.9231583634389352,0.4016665574513983,1.8029712232397839,1.9907298929219,2.4047549547843485,1.3994631631825407,0.6094551474630313,5.514704520154272,-0.20380815351058815,161.2,0.18203748684252852,0.0650107648429232,1.496440694809669,0.49006345901355974,1.2139010122699865,0.2825396825396825,-1.2139010122699865
44,27.0,True,15.0,34.0,9.0,0.06028045785909013,0.09586212829868668,0.0,0.9209598315968414,0.4027280414175111,1.832948966364862,2.0442454413504056,2.5407562677892264,1.403024677065956,0.6124669311940836,5.791861683153813,-0.20044250256581658,164.2,0.18204707456805222,0.06619749407390645,1.5203446107996204,0.4902630755594684,1.225900166355176,0.2944444444444444,-1.225900166355176
45,21.0,False,9.0,30.0,10.0,0.07043930991957313,0.14145561766181286,0.04729500385920981,0.2473118574510403,0.11837694586917838,1.22079900875179,1.694671423444546,2.0098403586613274,1.3644824474339114,0.576404618474882,4.156074057939871,-0.06364064253075272,187.0,0.06992033702306526,0.029863461261249585,1.300064617042634,0.49276525485340034,0.9151439821219991,0.38492063492063494,-0.9151439821219991
46,19.0,True,14.0,31.0,9.0,0.05594976964664193,0.1128446337837316,0.06035784110197913,0.9242487739874633,0.39679447152584074,1.8563519844059109,2.089216197873072,2.458778157643494,1.4059068358152305,0.611402592300524,5.742537272380756,-0.19955542524917919,139.2,0.17742404644274293,0.061026148105160424,1.52089224321359,0.49014357328433517,1.3256541479754949,0.19523809523809518,-1.3256541479754949
47,23.0,True,13.0,33.0,11.0,0.053452803327023485,0.07654036042689999,0.0,0.9368476792655345,0.4061266879859667,1.8847893094109505,2.1250294251724364,2.5984409103461426,1.4148272800939938,0.6106712591812317,5.992247660714776,-0.19447457701321705,135.4,0.1792021864455668,0.0597926548054607,1.5395606382505809,0.4903865484796451,1.3594019080918507,0.18015873015873018,-1.3594019080918507
48,29.0,False,12.0,29.0,10.0,0.04949161872616162,0.10654393183848822,0.050975651214868474,0.2309900312438037,0.1115504898132191,1.045267865299663,1.366068259940859,1.6005141890209038,1.3751893586361708,0.5673215010034726,3.2997470455344895,-0.081399217040138,236.0,0.0707563804624398,0.04014870205812426,1.1749927013277475,0.4922046743242873,0.595627621962668,0.5793650793650794,-0.595627621962668
49,20.0,True,11.0,34.0,9.0,0.06716363719116987,0.12689088217526998,0.05594246073906121,0.9235104481521283,0.3970621440329368,1.8512143328300907,2.093728010714753,2.469130502233139,1.40547052310796,0.6110056844473536,5.757905228039607,-0.19858784232478405,138.8,0.17822525077858736,0.06072051169893714,1.5210553833240346,0.4901523301670599,1.327404589673241,0.19365079365079368,-1.327404589673241
