trial,long_only,overbought,oversold,rsi_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
18,True,71.84029625887338,31.566480710536467,14.0,0.04502976129112242,0.0540884585519009,0.0739941970555948,2.4588388549311873,0.44024679346700174,1.4733979643965263,2.113852107617158,1.5071580953139663,1.3787804636843202,0.3993142546018766,7.949921446967438,-0.28898466490743374,194.0,0.25991967219261797,0.08709698154410705,1.1603995206740867,0.510317193633726,0.747701107975674,0.4126984126984127,-0.747701107975674
19,True,70.40464119215503,27.604203242985832,13.0,0.07855999386433501,0.11843489736658702,0.0,5.178393488045805,0.6684912829198727,1.7211769457749198,2.5481777607614204,2.1896024014799997,1.5490639793808885,0.3336286514756272,16.395320334879784,-0.2969232263649446,105.66666666666667,0.2963302970545935,0.07669549979734426,1.168673100348343,0.5158496504050983,1.106503788179031,0.06216931216931219,-1.106503788179031
20,True,68.1828676671384,25.377347990405795,10.0,0.07991244905511537,0.07087582029834485,0.0,3.804147107401972,0.5415519007283044,1.5969884162712544,2.2427227155328393,1.9091512250374774,1.445672806348098,0.37369322408397565,12.30478274050766,-0.261923138333218,118.66666666666667,0.2704560518312344,0.07306335669987914,1.1893343717047045,0.5126388024133376,1.0755777579480907,0.11375661375661378,-1.0755777579480907
21,True,68.35418572049655,25.09254016563453,10.0,0.07993761742000098,0.07007291813564079,0.0,3.59738666338672,0.5167755552300046,1.5660094333360537,2.185382787090868,1.678460090166747,1.4327032419626378,0.3639713926088722,10.99889339807848,-0.2844645336257296,157.33333333333334,0.25998893953079355,0.0767589614982012,1.1475997113660457,0.5116202305707911,0.8804039441702785,0.2671957671957672,-0.8804039441702785
22,True,69.42760008228201,28.50467560080164,10.0,0.06910934100406309,0.06715177250936791,0.0,1.9428273357924695,0.30154148038037887,0.9208151104334715,1.265611694571578,0.7175387609676532,1.2402627951218193,0.4301236587518978,4.677152832243182,-0.45545141608700607,460.6666666666667,0.290662568876517,0.22741799677008287,0.9070599382044477,0.5103061698373599,-0.8747423648690353,1.781802303073483,0.8747423648690353
23,True,67.91757159467586,25.132397688620323,11.0,0.05426383153701789,0.10755076068640029,0.0,3.4331338313511055,0.5187131228420218,1.5430271310223995,2.053603594404445,1.490981985777566,1.4580581795980212,0.3340268113103222,9.16014085419394,-0.3274760613765316,151.66666666666666,0.2751390358336856,0.08985187857183331,1.0724802675201481,0.5125416405601935,0.7728191500580902,0.2996611174620579,-0.7728191500580902
24,True,70.05410199133696,27.5916501597326,10.0,0.0799641267645304,0.14824841791077142,0.0,2.9093032684759734,0.45220316807108857,1.3579179782956932,1.9603833725880462,1.3988440919481084,1.3533472598581202,0.41184004328230034,8.488694899853119,-0.33426778134075624,317.6666666666667,0.27325773456057223,0.11528097080116884,1.1436759439594073,0.5086980482041309,0.1717012278387413,0.971974716120666,-0.1717012278387413
25,True,74.74211877227314,27.643980465700736,15.0,0.07555962541197318,0.06185978692245344,0.0,4.896808776373043,0.6739259095587796,1.8371494099476298,2.4322511732621797,2.5248106392495697,1.6202393118222378,0.2931215722168328,18.36237254120107,-0.2949255545688069,169.66666666666666,0.28708191768196517,0.07616734384234053,1.1040089963707023,0.5126263655299236,0.7878714302331362,0.3161375661375661,-0.7878714302331362
26,True,65.10528369773586,29.337868356325014,13.0,0.06836651852213135,0.09465458937710657,0.0,2.7898279852790693,0.4398439378088305,1.3418664961043663,1.858467938627487,1.169282556156148,1.364217580282807,0.3660503087493889,7.061348729588193,-0.3820143502008803,257.6666666666667,0.2684570159796517,0.11656913459574665,1.044379996936529,0.5137489385501371,0.21500738119085294,0.8293726157456761,-0.21500738119085294
27,True,68.99572487040948,25.49574959589283,11.0,0.05263474154289123,0.11634228129608216,0.0,3.760943702211789,0.5631103820275326,1.6115672545611026,2.2304141396698864,1.8187408613965579,1.4884057412776457,0.3445689030215561,11.722409945022505,-0.30030258849089053,152.66666666666666,0.28568031468564037,0.08270860912201998,1.1367865285971621,0.5136920430188395,0.8875041029381324,0.24928242565902972,-0.8875041029381324
