trial,long_only,lookback,signal_strength_window,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
11,False,21.0,18.0,0.05846827593393633,0.06943475553418217,0.06432609539640238,0.04143016331687943,0.04155031665148332,0.22218664564317062,0.3127614173408865,0.999769126809581,1.0817458762316432,0.46368864714622926,0.9910688450356341,-0.10486075575812406,159.0,0.09268390795355588,0.057079199167771544,0.4691774091957699,0.4885365132687374,0.19536788538624605,0.27380952380952384,-0.19536788538624605
12,True,18.0,16.0,0.07654624894529916,0.12570356403258487,0.0,0.2526004049655061,0.25859106572372953,1.439475422541725,1.68475360414282,2.3372179501493795,1.3138025589371598,0.5609804743204975,2.2815250300469603,-0.17978678154086603,100.8,0.18701337371461801,0.06712880824749864,1.2770953954750899,0.4753298442084903,1.234238252617947,0.042857142857142844,-1.234238252617947
13,True,9.0,32.0,0.09292598864188675,0.06799666632592537,0.05868594263341625,0.24383312556538672,0.24930393282497643,1.3695996212177473,1.5698813843073045,1.6473842956246507,1.2920888106418231,0.5771608723795449,1.605655876991122,-0.21221927156281964,106.8,0.1898801979944716,0.08167000847011192,1.175660916992538,0.4755401543859934,1.1089942503258714,0.06666666666666665,-1.1089942503258714
14,True,10.0,14.0,0.09843687679878714,0.061538702095297,0.0762292654253677,0.251355941753711,0.25671585941663516,1.3796045134179555,1.591277389553829,1.8047664672251902,1.2899484652534363,0.5650893623861908,1.762961440212901,-0.19467664625070358,101.8,0.18527691727927315,0.07224013315669074,1.195351653115591,0.4836273422916184,1.1485262562901941,0.04682539682539681,-1.1485262562901941
15,False,19.0,20.0,0.052257055120609734,0.14889634907640317,0.0,-0.037694084266051295,-0.03872117908361179,-0.4416778232354178,-0.5427020308085695,-0.04661014188801362,0.9367954854105646,0.4807512097888053,-0.04181725720778111,-0.13276366621852492,190.0,0.09567407496044471,0.08215949699494222,0.6354154885493611,0.48457419289393827,0.23859009172396434,0.3968253968253968,-0.23859009172396434
16,False,12.0,20.0,0.0670975417508257,0.13352952877920285,0.07256333869789444,0.040416298789002346,0.041030899331702876,0.4676080150306749,0.7064500704102723,0.7239345846957298,1.0970035941746539,0.4771289549390598,0.7089470771759923,-0.07147304188872576,130.8,0.10233457694540356,0.03248272255458288,0.641478114455701,0.49281478957339314,0.4795733525509391,0.16190476190476194,-0.4795733525509391
17,True,9.0,14.0,0.09859151824973111,0.09156149639459996,0.04412328264546246,0.24541842583945978,0.25091380104952843,1.377364545406584,1.5786380551397876,1.656558693043414,1.2937947068445355,0.5779640852309506,1.614683666431505,-0.21221927156281964,106.8,0.1899059793757289,0.08168782752745228,1.179803991232365,0.4755419258453147,1.1131373245656984,0.06666666666666665,-1.1131373245656984
18,True,16.0,20.0,0.06502976129112242,0.07152692063337346,0.0739941970555948,0.29806111491542053,0.30537913907834785,1.697011479713245,2.0285378766721944,3.2171631989939984,1.375316384049208,0.5739992129703478,3.1351902103644873,-0.19384126110343258,90.8,0.18533772961896572,0.07581597135976251,1.4349611201310735,0.4795306068070312,1.4317865169564703,0.0031746031746031633,-1.4317865169564703
19,True,11.0,16.0,0.09855999386433502,0.12417400693629849,0.0,0.21969217583124417,0.22517023992755555,1.2863096693320475,1.5685820291784556,1.5804959088444235,1.268482259802174,0.5698687545082761,1.5390868994150353,-0.20729334298838947,103.4,0.1847552997538309,0.08008167400687047,1.1449248448677811,0.48520255927129885,1.091750241693178,0.053174603174603194,-1.091750241693178
20,True,17.0,34.0,0.06644836138608097,0.08173261470763209,0.05629972722828265,0.27246693488396717,0.2788950002044724,1.5050743121455021,1.6532366956885352,2.869780692925413,1.3463920888584036,0.5804644624222227,2.792129524265647,-0.18951096632458134,108.0,0.18668899400348957,0.07178759499611366,1.3509298284621933,0.4792471150702305,1.279501257033622,0.07142857142857142,-1.279501257033622
21,True,16.0,34.0,0.06817654907184978,0.08132881408098849,0.05354429872098669,0.2979284774691242,0.3052483208484551,1.6950874828993256,2.0260971879239618,3.2199375918495883,1.3751871533986826,0.5739992129703478,3.1378698964504337,-0.19384126110343258,90.8,0.1853485965845559,0.07581261191861886,1.434689777937997,0.47952375084710164,1.4315151747633938,0.0031746031746031633,-1.4315151747633938
22,True,16.0,24.0,0.06245150419222287,0.0843145142014065,0.05219009952499507,0.2976527172671365,0.3049660946408329,1.6949097597565708,2.0267063898850326,3.21556240624748,1.3748589279046126,0.5739992129703478,3.1336019601223626,-0.19384126110343258,90.8,0.18532915210376322,0.0758220118904919,1.4343661038473998,0.47952901455721975,1.4311915006727967,0.0031746031746031633,-1.4311915006727967
23,True,13.0,36.0,0.07278125074798297,0.08249609555933608,0.06979207527700454,0.2190398138471116,0.2241871208766731,1.2126981474475005,1.34650080484441,1.9771859936121892,1.2673010235666062,0.5690815962131183,1.9285123016436956,-0.19649428395530388,128.0,0.18613425949651283,0.08053947157363162,1.1677984874410912,0.47942173996926984,1.0170048366474405,0.15079365079365079,-1.0170048366474405
