trial,data_lookback,long_only,overbought_threshold,oversold_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,wr_period,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
10,300.0,True,-16.42353095337002,-79.47349678515798,0.07706929230629089,0.14547804466890907,0.0507329901484215,11.0,0.44507739351091224,0.20255858572003382,1.0489376734769473,1.3397128289627733,1.349769741169427,1.2093694318109383,0.5530221625493589,3.0030411011905644,-0.22094433706818703,241.2,0.18627380046424918,0.09007314989055246,1.1093115657058117,0.49059389419464117,0.5093115657058117,0.6,-0.5093115657058117
11,375.0,False,-15.120868225895531,-82.44275961672967,0.03846827593393633,0.06048306170464686,0.0,26.0,-0.5754905183106043,-0.37828510368851526,-3.2050588572971286,-4.347900832790877,-0.6184222523454903,0.5657313028391648,0.39477490663989967,-0.9525662634323548,-0.600342822500103,454.2,0.1462649706765699,0.4160134010787284,0.46503920548879696,0.49281377344577393,-1.580884534749504,2.045923740238301,1.580884534749504
12,350.0,False,-18.893753605047138,-76.91216534978092,0.03301218055142446,0.11091041490883194,0.0,16.0,-0.5392346189388363,-0.3428174696628824,-3.0046514035170473,-3.9485677544331104,-0.6065895699604164,0.5794184028964822,0.4032507033483902,-0.966806637776946,-0.5554492556376983,467.8,0.13675860497948497,0.380666755826674,0.47554334824643124,0.4901488025048176,-1.5345615122353147,2.010104860481746,1.5345615122353147
13,400.0,True,-19.275062590184596,-83.27728995305584,0.06552524431626357,0.13820998106981125,0.043554073922633496,11.0,0.5343239432505171,0.2408146731981676,1.1730091579358983,1.5045720050177778,1.5622232798835367,1.2374779705442651,0.5485146139069084,3.524935538600146,-0.22814619180006349,224.6,0.19482870920236245,0.08447393988326538,1.1829288522247208,0.48905860498980924,0.6488018680977367,0.5341269841269841,-0.6488018680977367
14,375.0,False,-22.524751075959358,-83.89756867774726,0.07843687679878714,0.05170966899477445,0.0,15.0,-0.5748244293218846,-0.36841752430709096,-3.168916571135287,-4.064988821963285,-0.6202988095948915,0.5515880385928045,0.3835456570167752,-0.9772808113379929,-0.586934337400413,463.8,0.142207806440985,0.3958744805239204,0.45246834256520674,0.4894308205938107,-1.6047336655689526,2.0572020081341593,1.6047336655689526
15,375.0,False,-23.944379017918855,-76.42744044282686,0.04009160566328486,0.07042842520101622,0.0,28.0,-0.5390016445384972,-0.3529089889227529,-3.0305460274558818,-4.0432701236154465,-0.5955475157104175,0.5764340780118031,0.39092923290606985,-0.9236204070033238,-0.5717765688223654,460.2,0.14153212648325614,0.38583837705675067,0.4658951386615139,0.49159393187788014,-1.5467056180308356,2.0126007566923496,1.5467056180308356
16,300.0,False,-24.909200374657136,-81.35684954057979,0.03862628517761828,0.0951625695847095,0.0726797905685346,28.0,-0.5554073879096444,-0.3675196076721507,-3.159973958468337,-4.1807506966527015,-0.6199750886454978,0.5662983527661336,0.3897411690414267,-0.9559486388466951,-0.5758536746618355,456.6,0.14434377260743333,0.39890572583247624,0.4617168579307614,0.4924751925693752,-1.5447523961548144,2.0064692540855757,1.5447523961548144
17,225.0,True,-22.65467804636139,-83.46882053280953,0.028796434422757262,0.1476525304162185,0.05402733173093332,16.0,0.4907499785743717,0.220732933941144,1.0296418484347685,1.3322926099367716,1.4387503456895208,1.2092031409121293,0.5363016844579211,3.258900633068945,-0.21463103111749016,202.8,0.19870805777231068,0.08815003794197271,1.1079698158682574,0.4881167665714628,0.6603507682492098,0.44761904761904764,-0.6603507682492098
18,400.0,False,-18.433519289463533,-81.50734903376117,0.04502976129112242,0.06280768959263719,0.0,15.0,-0.5565249977240729,-0.3553237024341486,-3.0730753043862937,-3.997300769557037,-0.6156823694163529,0.5683848387857849,0.3919488588031098,-0.9760012716335558,-0.5679940546183495,472.6,0.14045040398297948,0.39063566525814364,0.4639591206315162,0.48879424826464773,-1.5902829568591514,2.0542420774906676,1.5902829568591514
19,425.0,False,-19.595358807844967,-82.39579675701417,0.03379014776054021,0.1475999897738917,0.0,19.0,-0.5467764815610667,-0.3523958597223732,-3.008165600351247,-4.063340543160614,-0.6083998061197243,0.5855036903079206,0.39313627852952254,-0.9593575767457159,-0.5671202180432612,459.8,0.14193145572250543,0.3937155722664193,0.4704135314366922,0.49216114895726004,-1.531287222110148,2.00170075354684,1.531287222110148
20,450.0,True,-21.045239968336546,-77.94729753769869,0.05304980063312888,0.08040807870760214,0.04042580625570886,22.0,0.5467754207610163,0.2542771856184554,1.2822283458996995,1.7355862113181004,1.8681664470329615,1.2601187213727854,0.5461396022092582,4.046797234655445,-0.18318399355555298,169.4,0.19215090492748385,0.0748238567921209,1.259691915753087,0.4946616061740753,0.944612550673722,0.3150793650793651,-0.944612550673722
