trial,consecutive_period,di_lookback,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
18,5.0,16.0,True,0.05668650752741494,0.07152692063337346,0.0739941970555948,1.3100360815650807,0.4986792920892906,1.3509614197753184,2.1634315344336077,2.3269214085284693,1.3834715172956444,0.5227742649800117,6.126451454305415,-0.2278395185059463,182.2,0.2820038919515018,0.08535263619830355,1.3540618850123667,0.4922808729406212,0.9881888691393508,0.36587301587301585,-0.9881888691393508
19,3.0,13.0,True,0.07903999590955668,0.12417400693629849,0.0,1.338451203034856,0.5111485016926018,1.6987382207103365,2.5376466195975205,3.072396512054012,1.4215228436210954,0.5481586068065025,8.00911294794233,-0.20748558940798242,143.4,0.22636229250102424,0.08160036918134268,1.5148320367685555,0.49281836773657417,1.3029272748637934,0.21190476190476193,-1.3029272748637934
20,2.0,18.0,True,0.040687918430527645,0.14934987323318905,0.0,1.2021004558295632,0.46640355294714037,1.3642309672952577,1.9966579994169127,2.465864978431245,1.3813974122521597,0.5543437989842278,6.318105658925327,-0.2297899505668594,186.0,0.26192025676019803,0.09025091923871972,1.387122099780449,0.49172671987313066,1.006169718828068,0.38095238095238093,-1.006169718828068
21,2.0,25.0,True,0.0460902140244266,0.14215809984263006,0.0,1.002419528095825,0.4127978785180909,1.2405270965995203,1.8704555233824476,1.8640327466023916,1.3246782857753192,0.5558549020788347,4.5487583503100835,-0.24813187584995217,197.8,0.26785630128250504,0.10015311490634074,1.2900505697933229,0.4930281690944952,0.8622727920155451,0.4277777777777778,-0.8622727920155451
22,2.0,18.0,True,0.04374313825365949,0.1183715194484362,0.0668414367669912,1.2021004558295632,0.46640355294714037,1.3642309672952577,1.9966579994169127,2.465864978431245,1.3813974122521597,0.5543437989842278,6.318105658925327,-0.2297899505668594,186.0,0.26192025676019803,0.09025091923871972,1.387122099780449,0.49172671987313066,1.006169718828068,0.38095238095238093,-1.006169718828068
23,2.0,25.0,True,0.0626441202196439,0.14220614354297817,0.0,1.002419528095825,0.4127978785180909,1.2405270965995203,1.8704555233824476,1.8640327466023916,1.3246782857753192,0.5558549020788347,4.5487583503100835,-0.24813187584995217,197.8,0.26785630128250504,0.10015311490634074,1.2900505697933229,0.4930281690944952,0.8622727920155451,0.4277777777777778,-0.8622727920155451
24,4.0,20.0,True,0.05883512043987662,0.08590942122083724,0.0,1.4740637768727693,0.5395108985808207,1.3757802441601197,2.0540343437254265,3.1713451415899563,1.4146648531031238,0.5335113296170639,8.571260027688655,-0.25179303028973693,159.6,0.2855168808092645,0.09968729275106726,1.4194614376859738,0.494328430338283,1.1432709614954977,0.27619047619047615,-1.1432709614954977
25,3.0,8.0,True,0.05451920037522499,0.12352265104279857,0.05310602187528723,0.8436942810251591,0.3468640862010935,1.433202441793414,1.7257028739179858,1.5277443996684432,1.3181049999827035,0.5684201559015316,3.6387889892939476,-0.27029490503049514,192.8,0.19819059055209104,0.11158391603714421,1.2699714754958733,0.4934381938539591,0.8620349675593653,0.407936507936508,-0.8620349675593653
26,2.0,8.0,True,0.07245163725124296,0.10966322005044249,0.040913545484500546,0.9546855369378366,0.38779101786780446,1.5667220858871542,1.8874471675928866,1.5226331236211972,1.358680612262418,0.5770132994756657,3.707155594502331,-0.2750518660137466,196.6,0.19601760627349016,0.10640027880011704,1.314732060395256,0.49127909384769286,0.8917161873793829,0.423015873015873,-0.8917161873793829
27,3.0,13.0,True,0.06176875998768792,0.1405435301589627,0.0,1.338451203034856,0.5111485016926018,1.6987382207103365,2.5376466195975205,3.072396512054012,1.4215228436210954,0.5481586068065025,8.00911294794233,-0.20748558940798242,143.4,0.22636229250102424,0.08160036918134268,1.5148320367685555,0.49281836773657417,1.3029272748637934,0.21190476190476193,-1.3029272748637934
