trial,long_only,long_period,short_period,signal_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
22,False,15.0,11.0,12.0,0.06451928465192615,0.14917354366052887,0.0710918243972851,0.6606522586077119,0.2946959882060858,1.873422816537623,2.6104213917801182,3.010214290916261,1.4232180598462485,0.5477934854209179,6.712495299914195,-0.10240675748329031,95.0,0.14285687196442304,0.029050244263215546,1.5282034204059247,0.4930657961262358,1.508362150564655,0.01984126984126984,-1.508362150564655
23,False,15.0,11.0,12.0,0.06272207408982329,0.14927607152885547,0.07065509323138904,0.6606522586077119,0.2946959882060858,1.873422816537623,2.6104213917801182,3.010214290916261,1.4232180598462485,0.5477934854209179,6.712495299914195,-0.10240675748329031,95.0,0.14285687196442304,0.029050244263215546,1.5282034204059247,0.4930657961262358,1.508362150564655,0.01984126984126984,-1.508362150564655
24,False,25.0,12.0,12.0,0.04923525624879552,0.14256204761902833,0.06985737246112808,0.533607016711169,0.24116471393506464,1.4887443169069505,2.0761911771520225,2.269209681336174,1.3206397976955042,0.5385639280883636,5.009950041072969,-0.11508901562310733,154.2,0.14800642209171905,0.040770527296018044,1.3612722036698757,0.49120830689867584,1.106510298907971,0.2547619047619047,-1.106510298907971
25,False,18.0,5.0,11.0,0.07423006604201683,0.14353488352971908,0.06682235691669977,0.7603630624065756,0.3309590671038086,2.2468051845818016,3.196136858525578,4.5403102440071255,1.5246793527317353,0.5726612727349546,10.465767510045934,-0.08542306978577552,72.2,0.12863338690483478,0.021545592655296354,1.7261907108330872,0.4958345736850941,1.7261907108330872,0.0,-1.7261907108330872
26,False,19.0,6.0,5.0,0.07417694194188583,0.11683796131755776,0.05393607840539999,0.8010377787062215,0.3466162982950731,2.396565654292432,3.428379155982433,4.334234571171274,1.5796013667613114,0.5709567763284543,9.837217012886471,-0.08822457022173676,70.6,0.12463647418098145,0.021804045625207834,1.7513952881371149,0.4976733132148666,1.7513952881371149,0.0,-1.7513952881371149
27,False,24.0,5.0,5.0,0.074363572113968,0.11446381141310616,0.052844084524276275,0.8134633022421431,0.35301991522138193,2.4032935231500216,3.625351062140536,4.629472307837658,1.6006290892550865,0.5734008596525288,10.579041857254207,-0.092271171218159,81.4,0.12839401207170204,0.02405570687523807,1.7797817462616417,0.49795220714222443,1.7797817462616417,0.0,-1.7797817462616417
28,False,24.0,5.0,6.0,0.07296438935537553,0.11626749511068979,0.052503375028591655,0.8456799102308341,0.36512966039458844,2.4488619071198237,3.6539953810404895,4.408863773925946,1.6115856192722504,0.5713986846218919,10.133796023164523,-0.09431239726370574,72.6,0.12963651816348357,0.020955683258856224,1.7761358714013764,0.49802717854455303,1.7761358714013764,0.0,-1.7761358714013764
29,False,24.0,5.0,5.0,0.08816294413603902,0.11022172953118131,0.05177418052863442,0.8134633022421431,0.35301991522138193,2.4032935231500216,3.625351062140536,4.629472307837658,1.6006290892550865,0.5734008596525288,10.579041857254207,-0.092271171218159,81.4,0.12839401207170204,0.02405570687523807,1.7797817462616417,0.49795220714222443,1.7797817462616417,0.0,-1.7797817462616417
30,False,28.0,6.0,5.0,0.08833361302455163,0.10726770564792086,0.053721296033441675,0.7704912837151977,0.3379981745618894,2.3035824056668677,3.3644961059493474,3.9169879760922344,1.5614844070786416,0.5734326995560373,8.853015226005095,-0.09919244721266321,83.8,0.13047914287803739,0.026476360060825523,1.7222168065036951,0.4976875114430828,1.7222168065036951,0.0,-1.7222168065036951
31,False,27.0,7.0,6.0,0.08948881484963808,0.10528939969039361,0.04194587297812773,0.7817018865220036,0.34031420757535663,2.3372344389917705,3.331242742422893,4.443186627759795,1.5463705117309607,0.5767061324315004,10.14892014580155,-0.08171132074816037,67.6,0.1266355619347735,0.021611562549284567,1.7480981086845326,0.4958935875830206,1.7480981086845326,0.0,-1.7480981086845326
32,False,23.0,5.0,5.0,0.08122774953908148,0.11180578836728652,0.050197619122275106,0.8173593063418524,0.35281739486129227,2.3805144650894627,3.505121727712711,4.46758888684708,1.590878351984008,0.5749912541042786,10.22696739529351,-0.08701469770554462,76.4,0.12740905970702215,0.022787275894689808,1.7674456309337008,0.4973591573448755,1.7674456309337008,0.0,-1.7674456309337008
33,False,43.0,8.0,8.0,0.07833068426170195,0.12141090137232362,0.056357544142962644,0.7387151766987289,0.32085060845706687,1.9923267226270756,2.9342259377171502,3.3638744672463026,1.4677384478349143,0.553567381352632,7.750470288875036,-0.11393952725746281,157.6,0.14065771394200524,0.037079532237303515,1.5970967356837462,0.49481582680607217,1.328842767429778,0.26825396825396824,-1.328842767429778
34,False,26.0,8.0,7.0,0.08814714497642838,0.096819423917797,0.04112249068932845,0.7231777960256525,0.3171692378457199,2.1376535842446427,3.055363038798518,3.8792770150435993,1.4936625932690681,0.562933103077237,8.874839530782957,-0.08797026396809833,64.2,0.13151888044656512,0.023430447171781124,1.6613782536500241,0.4936171329247495,1.6613782536500241,0.0,-1.6613782536500241
35,False,29.0,6.0,6.0,0.09521413425236133,0.07729988177461222,0.06200266403077867,0.7688359981839838,0.33533706895583937,2.3128453296119966,3.247618549528699,4.296358565146996,1.5396725934791489,0.5832071903094673,9.768600652691536,-0.08313045091599783,82.0,0.1263303113797482,0.022123979986929422,1.7444116593109193,0.4954664265406996,1.7444116593109193,0.0,-1.7444116593109193
36,False,40.0,9.0,9.0,0.07811547441997721,0.10924903707402742,0.0,0.6477806368451569,0.289858374527365,1.7831650359204765,2.4871994076028776,2.526571930929981,1.407704630489071,0.5482995042041059,5.614366948998814,-0.12291016330093991,134.8,0.14960177324823443,0.03682149093636994,1.4738524138659472,0.49500119467174075,1.2960746360881694,0.1777777777777778,-1.2960746360881694
37,False,20.0,14.0,14.0,0.07112341441958325,0.09364524860314466,0.045963122001236444,0.5151688993648136,0.23225372637139494,1.409198463775867,1.9360140819899907,1.9547810160966108,1.3019824788991878,0.5401510403858666,4.3110721931069795,-0.12688369137607144,157.4,0.15372277445195248,0.0438938774109683,1.307454722371804,0.49326591418968924,1.0399944049114866,0.2674603174603175,-1.0399944049114866
38,False,21.0,5.0,5.0,0.0854802063580317,0.10197121509227478,0.056403086011855584,0.8418072399704979,0.36125492196036835,2.4337988048483568,3.597584253001518,4.696646584431609,1.6082498456782646,0.576178248003341,10.848705451415523,-0.08168537753567888,74.4,0.12634727060238019,0.021602515191746142,1.7903460934435156,0.49722362941006404,1.7903460934435156,0.0,-1.7903460934435156
39,False,17.0,7.0,9.0,0.08452262274521087,0.10225481161352269,0.0,0.7068152330182796,0.3115053566921953,2.1366640350254746,3.1154882877009427,3.4147056318837783,1.4868542452166704,0.5689956116165559,7.746967915065485,-0.09821279710698376,76.8,0.12952137300547042,0.024352933776958418,1.6479108225923549,0.4958125780967359,1.6479108225923549,0.0,-1.6479108225923549
