trial,long_only,long_period,short_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
10,False,58.0,14.0,0.04146598029684301,0.05412603573709127,0.022776274868545592,0.42619880022524664,0.10104971490404002,0.47420248887118094,0.7580639468998248,0.620245733476117,1.108104884444648,0.4956516619576061,2.58010859163249,-0.25564467923725004,535.3333333333334,0.20145459806653063,0.15302815945998097,0.7187534430795711,0.49404040589952397,-1.0484423241161962,1.7671957671957674,1.0484423241161962
11,True,30.0,7.0,0.028386449363717488,0.11081523849100594,0.08248702669311131,0.5184418188476233,0.1369196792117889,0.676428814034893,0.8888584959507354,0.3096908443159942,1.1389576514935487,0.5146874149029541,1.1783303977149622,-0.4909696818794876,484.0,0.2637621919215985,0.22592753037774074,0.6314461212667787,0.4878328466432132,-1.3139853059842599,1.9454314272510387,1.3139853059842599
12,False,52.0,6.0,0.06872833192706555,0.1230039600362054,0.04265287504240839,0.31740556429725464,0.07323796932958704,0.4251438744999998,0.6224325833524033,0.9580905100015847,1.098372039378358,0.49945405214462557,3.6925225838389024,-0.2672594005485632,399.6666666666667,0.17679919560186894,0.1586308900945839,0.7329650307966905,0.4880857087830404,-0.49587094803928833,1.2288359788359788,0.49587094803928833
13,True,50.0,14.0,0.027108147845266998,0.09671485658354062,0.025393833903528753,2.0876823547278454,0.379454564766706,1.2385226818759063,2.00034835076411,1.7870615037357762,1.3117540060153245,0.4667611362446214,9.93696328424373,-0.34252171380816804,420.0,0.2711619626631586,0.1754410805691593,1.231451220634335,0.47823719890541483,-0.16311601650581053,1.3945672371401456,0.16311601650581053
14,False,24.0,15.0,0.02136773519581956,0.14057316356341926,0.03859685099756776,-0.008641327729843495,-0.011806597432488797,-0.08772355982446055,-0.11145240726007637,0.08403756489319825,0.9936912230458446,0.49622142786903795,0.3982816125871281,-0.2898654043547287,519.3333333333334,0.14130315277082214,0.1748152488884249,0.22946562424629213,0.4872737882180513,-1.474238079457412,1.703703703703704,1.474238079457412
15,False,54.0,7.0,0.03634274016081297,0.14877372119600352,0.09001980873193181,0.33642906571311676,0.09131657221168499,0.514176123784403,0.7373680765598541,0.4053532341909533,1.1084381613542778,0.4942942476399504,1.4751152970824633,-0.26028805090711005,412.0,0.18750098437320306,0.134331970011761,0.6402603591074401,0.48685200600225453,-0.6375174186703376,1.2777777777777777,0.6375174186703376
16,False,32.0,8.0,0.08535958113706921,0.13140834674473612,0.09058140839797056,0.3183536254352488,0.09127230734568255,0.5680895978013807,0.8110576512819888,0.40117981027815947,1.118932782024623,0.5084067921386493,1.3934999840259532,-0.22719385535407643,444.3333333333333,0.17991762344911688,0.13026587491432065,0.661948687506681,0.49604474850416813,-0.744135968577975,1.406084656084656,0.744135968577975
17,False,26.0,15.0,0.04805466346186664,0.06030820661365616,0.04599592250904878,0.0983551580984318,0.011350515403829883,0.023407894388800383,0.014230098109993095,0.2940144673082828,1.0227908721018537,0.49955887923129144,1.2933646763615674,-0.29026661063027126,564.3333333333334,0.1585937186740005,0.17126277048246386,0.049938381074265945,0.48679526674451085,-1.8323367512008664,1.8822751322751323,1.8323367512008664
18,True,34.0,8.0,0.030246151674109746,0.13498549263898701,0.03961708391046929,1.7393835724793207,0.35995005043599065,1.412998631900307,2.0015228281842288,1.255180845774868,1.3067899227775728,0.5151856086618006,6.070009266021676,-0.3069206307706375,393.0,0.24637917665965767,0.1291506227994013,1.2307544267870096,0.49188590267408855,0.014532212864782235,1.2162222139222274,-0.014532212864782235
19,False,30.0,6.0,0.09807999181911337,0.12130445215144277,0.05578588759895854,0.43776406236295884,0.1206560209641756,0.7975150911350085,1.1717424338006375,0.7494678230928886,1.1579229799320203,0.5189143030044292,2.7119972926581206,-0.15873379016750067,265.3333333333333,0.154563293978948,0.07678997875141508,0.9089459671016392,0.49120213582251204,0.21317877133444352,0.6957671957671957,-0.21317877133444352
