trial,fast,long_only,slow,smooth,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
19,14.0,True,29.0,7.0,0.07831999284172418,0.1126957877968756,0.0,1.5655076319730012,0.517844237592627,1.3343420978337925,1.8546096457291448,2.0755717425446725,1.375654211166036,0.5585972247258164,6.320729576985702,-0.27560874955149156,175.4,0.2718651481151558,0.1037620813102053,1.3496004935461559,0.49494780767940966,1.010711604657267,0.3388888888888889,-1.010711604657267
20,19.0,False,33.0,5.0,0.04609218342186694,0.05021074778170086,0.0,0.7299491051615957,0.31961426594307324,1.958713094333762,2.870752734224781,2.6666867316584364,1.4575697883115342,0.553102896767866,6.000970786758279,-0.13931940366292414,114.6,0.1479249301977446,0.04402545920200686,1.5406056588289014,0.49294527839868174,1.442986611209854,0.09761904761904759,-1.442986611209854
21,19.0,False,32.0,5.0,0.042521730371158965,0.05193962446546887,0.0,0.7142260090063477,0.31456383812970484,1.9559591842916049,2.843085516091937,2.6528723632212183,1.4557586070275956,0.5555227981266236,5.970908542931443,-0.14054489905042028,119.2,0.14799922461279597,0.04579136843484345,1.5406538195915782,0.49309905791997605,1.4247808037185623,0.11587301587301588,-1.4247808037185623
22,17.0,False,33.0,5.0,0.048158494144122016,0.04849791056879752,0.06577171368134087,0.7306652355228394,0.3191271917863273,1.938953594150735,2.804687905231756,2.7680877505078056,1.4668485691541373,0.5523093780279842,6.303599532234587,-0.12905264436868674,109.4,0.1490553141582681,0.03875822546563793,1.544600010344444,0.49323959908716397,1.467615883360317,0.076984126984127,-1.467615883360317
23,17.0,False,34.0,9.0,0.037067816166098326,0.14681669301432687,0.06515071584928747,0.6061634601239185,0.2717282348952717,1.7547761816408793,2.497137452298762,2.623743549516127,1.3787222371357912,0.5513881011202248,5.834654554990122,-0.10764455569239939,130.0,0.14202189224001754,0.03639480812505009,1.4771884420049088,0.49119251838514416,1.31845828327475,0.15873015873015872,-1.31845828327475
24,17.0,False,30.0,10.0,0.04870288532406091,0.05699726884562846,0.06478605869169213,0.5767535039703109,0.26078987548020627,1.6752222288375331,2.3419087821733457,2.3552309848649697,1.3576388481266979,0.5526752790197433,5.198938095743382,-0.11192274240501734,143.8,0.1441637269567726,0.0398414633191784,1.4330667333344476,0.4912083899560199,1.219574669842384,0.21349206349206354,-1.219574669842384
25,18.0,False,34.0,9.0,0.020903177721106368,0.10197812144303905,0.07970806363823534,0.6478091221314474,0.2890917827915493,1.8506541108748351,2.6035913913969537,2.810114343639496,1.4078867804480883,0.5551243830771898,6.280903204277865,-0.11106328291588792,122.2,0.14362380223553797,0.03738527366396683,1.518531020623936,0.49208004035133346,1.3907532428461582,0.1277777777777778,-1.3907532428461582
26,20.0,False,22.0,5.0,0.0364199546750059,0.08749670967201452,0.04090411760809999,0.7219517878369015,0.30995309571963026,1.8346294040543643,2.701963220716136,2.8236650077541734,1.4441976022280754,0.5449703107622578,6.466653135101334,-0.10742409673369162,100.0,0.14458910911799208,0.02821044429463393,1.5184691407471946,0.4926028717694143,1.4787866010646549,0.03968253968253968,-1.4787866010646549
27,13.0,False,23.0,9.0,0.035824688575998825,0.09104901909922626,0.03766074135081267,0.7224072545482807,0.3147845725060224,1.928512821308513,2.8573582146930905,2.7251791426349974,1.4478128692325183,0.5510649457346741,6.199602017279739,-0.11511739129498981,130.4,0.14337402200416038,0.034770989905693536,1.537624887829725,0.4926145315301286,1.3773074275122645,0.16031746031746033,-1.3773074275122645
28,20.0,False,22.0,6.0,0.02042603295908587,0.13985493077336847,0.04140377973914999,0.7342347321992234,0.31635551199281603,1.9106153730933961,2.8745794627984895,3.1122705033750817,1.4458661137611428,0.5494183442971091,7.1540327279640366,-0.10120853070602817,125.2,0.14206982365576198,0.031112507957282064,1.560836595901995,0.491689087629023,1.4211540562194553,0.13968253968253969,-1.4211540562194553
