trial,atr_period,atr_threshold,entry_lookback,exit_lookback,long_only,lookback_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,use_atr_filter,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
10,14.0,1.01916229997837,54.0,19.0,False,58.0,0.0507329901484215,0.06371343216338214,0.0,True,3.3662038484354695,1.1695054936318943,2.322267683451993,4.008245230593912,8.221432728334243,1.6014199190970586,0.5296652980388223,23.930156879135428,-0.1895946536980268,111.4,0.31763666546865993,0.0823126187302493,1.7878685260515808,0.49648150390003315,1.702947891130946,0.08492063492063494,-1.702947891130946
11,14.0,0.8047036926340543,56.0,20.0,True,27.0,0.05231218395595755,0.06943475553418217,0.06432609539640238,False,3.9755132615378104,1.1222131656457779,1.636878901303725,2.5762434290290477,7.860554326790455,1.490735360654171,0.4194499631256151,29.878086431199186,-0.2572903320835914,176.4,0.3495976228494954,0.12145616836475878,1.4236050389705803,0.49295422086083757,1.0807478961134374,0.34285714285714286,-1.0807478961134374
12,16.0,0.7958352812892424,38.0,20.0,False,25.0,0.06436416596353278,0.12570356403258487,0.0,True,2.322490526512668,0.8702590330784903,2.1704553840492196,3.8295856258468746,5.968734237991619,1.5150541794768473,0.5242850834822229,15.877258527969309,-0.1758846824037815,75.2,0.2893249459445988,0.06130459026934838,1.7046509377364663,0.4882234229504526,1.7046509377364663,0.0,-1.7046509377364663
13,11.0,1.5258852260740996,41.0,9.0,False,55.0,0.043554073922633496,0.10204337092518656,0.0,False,2.8085327167029783,1.0202954652768403,2.5887190991351616,4.282313049363733,6.661599205228946,1.6123328009551106,0.5582486604259073,17.93592618269958,-0.16196089827383137,83.6,0.270574263028909,0.0552744720883242,1.8534455881824603,0.5002858098084834,1.8534455881824603,0.0,-1.8534455881824603
14,13.0,1.118612930273033,42.0,11.0,False,59.0,0.04068386759790978,0.14151584720707733,0.0,False,2.834347187456929,1.053537363219058,2.6518339126121284,4.568835839240618,6.450552351647984,1.6326489722840585,0.554631483095962,17.152047551868776,-0.17651718416591683,94.8,0.27644662480265814,0.06156263735285424,1.8605806523245585,0.4986838996249533,1.8415330332769395,0.019047619047619035,-1.8415330332769395
15,16.0,0.7373208530068875,57.0,20.0,False,54.0,0.053394403775523236,0.0783855826809146,0.07950948847840142,True,3.064717754848529,1.098125324910725,2.2011521834726837,3.8426882264102424,7.851024402052717,1.5565812377792096,0.512658144256525,22.704524530404182,-0.19623013239712445,107.8,0.3217359685156857,0.08252786293068295,1.7246289769125531,0.4923939583110588,1.6539940562776325,0.07063492063492062,-1.6539940562776325
16,9.0,0.8202721232591945,30.0,5.0,False,29.0,0.0580650278338838,0.13352952877920285,0.07256333869789444,False,2.7065850709533423,0.9543635223791511,2.834095060979714,4.3202562194267475,7.020706775032134,1.6738898734619205,0.5781540698376362,19.81023883422868,-0.15617383239655813,80.4,0.22906360583857494,0.05224032337603026,1.9328138179844334,0.4959370533637296,1.9328138179844334,0.0,-1.9328138179844334
17,11.0,0.6170308863025642,26.0,9.0,False,59.0,0.05402733173093332,0.06927738595229053,0.0,False,1.7174169964162758,0.6732754325751464,2.145435165848438,3.309325567334459,4.168044444004468,1.491465614688542,0.5673383731549204,10.519665306936343,-0.19657957712877136,135.2,0.24022703372668971,0.06962741299870076,1.6966593747234426,0.4957335537231117,1.5172942953583632,0.1793650793650793,-1.5172942953583632
18,21.0,1.8780138739479888,46.0,21.0,False,34.0,0.045123075837054875,0.1364869433750883,0.0,False,2.4827367009886885,0.9270900232986286,2.1551004275291845,3.5518673504759137,5.380329043031656,1.5200457892195864,0.5152689239315948,14.415435676923817,-0.1933417503726703,87.2,0.3007796638451,0.07224785893379879,1.6669449804632075,0.5006177510509243,1.6669449804632075,0.0,-1.6669449804632075
19,10.0,0.9006043074561592,50.0,19.0,True,25.0,0.07903999590955668,0.12417400693629849,0.0,True,3.786367240079605,1.1377406722759864,1.9280756176052911,3.078229625999342,5.264702267080673,1.547133766280386,0.42997230502784534,17.551631780842925,-0.21745951790824175,127.0,0.329040311034548,0.08369080080874418,1.47691557110899,0.4953821974917395,1.3300901742835933,0.14682539682539683,-1.3300901742835933
20,7.0,0.5027525990107231,32.0,6.0,True,15.0,0.05923032101374108,0.11593767799796365,0.05285321228068313,False,2.869422882875405,0.933077902479095,1.9314118529024686,2.472577182700271,3.812138920740184,1.5076831928477548,0.521632791532633,12.173078335154482,-0.3095720855917713,115.0,0.3269862735797811,0.10781557125225313,1.5596619837840906,0.5027262024366496,1.4413114633941988,0.11835052038989181,-1.4413114633941988
21,12.0,0.537357025706909,17.0,5.0,False,16.0,0.07600626181830898,0.14947741696982922,0.07319256302154045,False,2.1143753200254305,0.7743928844005175,2.747033708759424,4.148265779729334,6.25602518591824,1.6394094799396222,0.5754483082433388,16.771820999652153,-0.11877602663243772,64.8,0.2008531414449642,0.037075638080832196,1.8913634732579176,0.4959608139501608,1.8913634732579176,0.0,-1.8913634732579176
22,8.0,0.503527981209923,34.0,6.0,False,18.0,0.04826752024505757,0.11330067853024992,0.05633534175143168,False,3.006418313722095,1.0310929344111344,2.8055380193664723,4.3386759943245155,8.138333787320658,1.6712951611202136,0.5810763737218192,24.1656424655006,-0.16634465857912978,80.8,0.24122774590854884,0.054265354684766606,1.9541034501434265,0.49784111061279523,1.9541034501434265,0.0,-1.9541034501434265
23,7.0,0.5070413727564368,36.0,13.0,False,18.0,0.0474639876034717,0.11161772853282355,0.05464896838296117,False,2.556761145286346,0.9239678138469071,2.3771880197852453,3.970568560113054,6.229984858220776,1.5820484564116475,0.5474490803562629,17.200075955546154,-0.19043290733051466,98.8,0.2718368426024034,0.06612030460024901,1.7910889964868595,0.4914902841661853,1.7561683615662247,0.03492063492063491,-1.7561683615662247
