trial,long_only,long_window,short_window,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
14,True,70.0,8.0,0.09843687679878714,0.061538702095297,0.0762292654253677,0.4306198514293831,0.1815476737194374,0.6902093166807947,1.0151088836698376,0.8508815384270498,1.1604210227751182,0.4471527077125743,1.9828150228394723,-0.26525807899731346,224.4,0.2525731176374887,0.1242471019725151,0.8319853204303412,0.4756336055295337,0.2986519870970079,0.5333333333333333,-0.2986519870970079
15,False,175.0,13.0,0.052257055120609734,0.14889634907640317,0.0,0.12750123192876034,0.05829497222541587,0.32323941075251716,0.4462860469891181,0.2365304779801559,1.0656323073684084,0.46394995746927864,0.5106382671788838,-0.25117245955673173,285.2,0.24927653425782176,0.12496871339454182,0.4105559179434467,0.47901912294789817,-0.3640472566597278,0.7746031746031745,0.3640472566597278
16,False,90.0,13.0,0.0670975417508257,0.13352952877920285,0.07256333869789444,0.21362220242113256,0.08780468994863921,0.4030461350143096,0.6837022244049384,0.70351165569851,1.0927659728538561,0.4922898610373438,1.5883943185761882,-0.235364000880726,213.6,0.20862361931921192,0.11593744227466822,0.6710530917118542,0.4824569746145449,0.18057690123566378,0.49047619047619045,-0.18057690123566378
17,True,55.0,9.0,0.09859151824973111,0.09156149639459996,0.04412328264546246,0.9820863405422159,0.3758206038629891,1.0504778802529329,1.7736681454649819,1.7044773187169013,1.2707313800966094,0.4708185416831089,4.234836402809131,-0.29197756319363577,219.0,0.2751293518900325,0.13280201890109292,1.142968896007657,0.48700837261270014,0.6310641341028951,0.5119047619047619,-0.6310641341028951
18,True,140.0,14.0,0.06502976129112242,0.07152692063337346,0.0739941970555948,0.5215391636914563,0.22444019481878202,0.8783692601544104,1.3552910036930883,0.9871877658087556,1.2238591739298745,0.3692581804642058,2.307876322819891,-0.2887488338054326,219.8,0.2533811682927258,0.1371739600480524,0.8761913404348367,0.4777401026448936,0.36111197535547157,0.5150793650793651,-0.36111197535547157
19,True,75.0,11.0,0.09855999386433502,0.12417400693629849,0.0,0.32456877974760284,0.14606179896689794,0.6091665212480445,0.8477669671273542,0.6127183978373602,1.1379670938368363,0.42649442380650127,1.3545384794130555,-0.3030593139853598,254.8,0.26328184957610845,0.15753054347747436,0.7130172891128332,0.47736768823446046,0.05293040717385966,0.6600868819389736,-0.05293040717385966
20,True,35.0,16.0,0.041989375347039906,0.14222690565780197,0.0,0.8934858300555992,0.3607362310587759,1.1969723204790672,1.8679195559307586,1.573246254903983,1.2919498659722433,0.497428919350211,3.9986690677085606,-0.2913166544499002,220.2,0.25949149810500444,0.13209981330148385,1.1902709393982207,0.47368058202384866,0.6736042727315541,0.5166666666666666,-0.6736042727315541
21,True,30.0,5.0,0.049135321036639895,0.14905645347656213,0.0,1.6712520680924494,0.5472499927626959,1.5905822502565699,1.9877644909275234,2.253438102107064,1.3909504093556584,0.5415810703019892,6.764937898670861,-0.2567981361836797,148.4,0.24306869311875054,0.10134828921875065,1.3990109326640954,0.49351105978604537,1.1672649009180636,0.23174603174603176,-1.1672649009180636
22,True,30.0,24.0,0.04739802398512902,0.14988668328611868,0.0668414367669912,1.0732749021452226,0.41713228424503246,1.4936045357100778,2.1581074175334884,1.722622553893342,1.3363116207386336,0.5343463163189738,4.442154300263781,-0.25539997650351143,211.0,0.22073794549358997,0.10238314603733693,1.3162829699001397,0.4811387783560671,0.8361242397414095,0.4801587301587302,-0.8361242397414095
23,True,35.0,25.0,0.05090895462885912,0.1425852151140439,0.0,0.5209054340034012,0.21256672424476936,0.8306355128648548,1.2364969735395013,1.1349536799012265,1.1742011477545014,0.5012003794686561,2.772310839231917,-0.3008843165314344,270.2,0.22815630080336896,0.14983653438872016,0.9833986330333404,0.48549799444438096,0.26655063489110664,0.7168479981422338,-0.26655063489110664
