trial,adx_lookback,adx_threshold,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
14,15.0,21.0,True,0.0789579178658581,0.061538702095297,0.0762292654253677,0.6498813032524671,0.2693586162535735,0.8620836731282486,1.105851475496419,0.9917861665595236,1.2183704846988466,0.4333815654816557,2.391294143970333,-0.2968310864078646,209.8,0.28808705464430123,0.10512454204593316,0.9064909113870095,0.4782994745203128,0.4310940859901841,0.47539682539682543,-0.4310940859901841
15,27.0,23.0,False,0.04817137008040649,0.14889634907640317,0.0,0.514176131089717,0.17409644186381085,0.4229500349660487,0.6919222190267119,0.6582334413477986,1.13225708411244,0.36264554127387205,1.8176732199833787,-0.4127774464236672,280.4,0.2919182051100038,0.200708586724696,0.6302738431726573,0.4693641807359457,-0.3508366052302325,0.9811104484028899,0.3508366052302325
16,17.0,23.0,False,0.0580650278338838,0.13352952877920285,0.07256333869789444,0.3374007624668697,0.11887673009712878,0.38287497378327434,0.6410617548595254,0.8502403248782933,1.0911620903312884,0.44913198278444977,2.3278187024395556,-0.3309325789334615,269.8,0.24466457423324073,0.1559475814188908,0.6726135656477821,0.4727435188106804,-0.10274365571120447,0.7753572213589865,0.10274365571120447
17,13.0,21.0,True,0.0790610121664874,0.09156149639459996,0.04412328264546246,0.34885086341631355,0.14805701529124388,0.6252125026002452,0.8583294888866237,0.8251659815377949,1.1451158233388146,0.4426311788374111,1.9045439319018294,-0.3255141544481479,226.0,0.2721728675278355,0.1518469115988247,0.785963860055019,0.48214526243689226,0.19525301147618346,0.5907108485788355,-0.19525301147618346
18,23.0,23.0,True,0.05668650752741494,0.07152692063337346,0.0739941970555948,0.462823704815076,0.18438153364787888,0.616313809842168,0.9097489637252618,0.8268248954069037,1.162294639249098,0.3403445454834516,2.060257046998006,-0.34852097835650336,202.0,0.2550537965189507,0.17134830265429624,0.7303585888600403,0.4766589000273414,0.18887218770258918,0.5414864011574512,-0.18887218770258918
19,15.0,22.0,True,0.07903999590955668,0.12417400693629849,0.0,0.23831957541650212,0.0660663092304223,0.42614754926795884,0.5513786991483215,0.6849856974524864,1.102806010660911,0.4239863903431383,1.7423355765808022,-0.3988824508153995,212.8,0.319387317806393,0.13626908184540484,0.6342889360051155,0.48003670521134423,-0.05077755292727093,0.6850664889323864,0.05077755292727093
20,10.0,28.0,True,0.04158849791607633,0.08166810447665743,0.05757078800292319,1.0505512615698538,0.41306616740685165,1.3794529058093523,1.9454355366931673,1.9036809885303032,1.3248158221961939,0.48556698136548543,4.799683880552829,-0.23676409684777902,191.6,0.2500436014261839,0.09877345065046543,1.253430234236726,0.4802044021460333,0.850255631062123,0.40317460317460313,-0.850255631062123
21,10.0,25.0,True,0.04091110493709251,0.08325224001412684,0.066407458251477,0.8315574663074707,0.3248441492718491,1.1202618494794692,1.6420660943679561,1.317574037750414,1.2666784579652213,0.4697679978028468,3.3505055256325442,-0.30174612619972574,219.8,0.24473112959685447,0.1444363787125193,1.095440815082832,0.47544249233292524,0.5768691976040154,0.5185716174788166,-0.5768691976040154
22,10.0,30.0,True,0.045328323878833676,0.14917354366052887,0.054916278289333036,0.8674456436668654,0.2924940516775266,0.7341559109560323,1.1503345058042092,1.6544336680424123,1.1950019556384055,0.46049502890666655,4.7369729064162724,-0.3171039549092244,273.0,0.24277718326897185,0.1651092543231408,0.990858113855719,0.479594043532931,0.23045972784679403,0.760398386008925,-0.23045972784679403
23,11.0,28.0,True,0.04493584432119237,0.0788339340047032,0.05393883613171868,0.7726441973015097,0.2959764485873992,0.8531031780263485,1.2697502362940831,1.7171083050933447,1.2251725458784555,0.4543903467518054,4.454414555651362,-0.2618934943749606,217.6,0.2628057690897932,0.11373207739267724,1.0374195508596087,0.47747712606714937,0.5310703445104024,0.5063492063492063,-0.5310703445104024
