trial,breakout_threshold,cup_depth_threshold,extrema_order,handle_depth_threshold,max_cup_duration,max_handle_duration,min_cup_duration,min_handle_duration,peak_similarity_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,volume_confirm,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
31,0.013193040252371793,0.35720456279121104,14.0,0.35120196387224306,130.0,28.0,20.0,11.0,0.2064386844153538,0.04888990066309054,0.10787548265551042,0.04953921412109747,False,-0.0008028832003669217,-0.00032760575898900984,0.04268126985789267,-0.024925533949267664,-0.10234824057055958,3.7817375945925993,0.0036566878065920423,-0.33088826544265043,-0.027663793005456034,477.3333333333333,0.020153563384869226,0.0200620388411414,0.010095386692998184,0.625,-1.5269416503440387,1.537037037037037,1.5269416503440387
32,0.015724968419367845,0.4733337843574849,13.0,0.40001649353102353,85.0,18.0,30.0,3.0,0.07890514220727467,0.04558822358097824,0.07802308503209646,0.04019961310612062,False,-0.0006943815607433438,-0.0002109677241377931,0.0005587731507198009,0.0,-0.10175291375243473,3.6666666666666665,0.00040551500405515005,-0.3333333333333333,-0.0017033946107959015,186.33333333333334,0.0014989695472491132,0.0014004526124684223,0.0007049024970908007,0.3333333333333333,-0.3815702297780415,0.3822751322751323,0.3815702297780415
33,0.00881380218272124,0.40652225628498706,7.0,0.47327993918401484,65.0,24.0,23.0,10.0,0.1513102834246727,0.06037768815661775,0.09475804963991677,0.06224902160066145,False,0.07024577808664716,0.020776032980890775,0.4015918239198635,0.19244053943340822,0.3752449315282615,1.4723966490438158,0.01947945221937049,1.2686645344106633,-0.06697474939205965,358.3333333333333,0.050059821004105644,0.029113640511442742,0.09500440251918889,0.5212938596491229,-0.9698104122956258,1.0648148148148147,0.9698104122956258
34,0.024797523517319935,0.3737797653461312,15.0,0.32007485014507625,105.0,22.0,28.0,9.0,0.12802903416116995,0.05494709713623999,0.08426977651143522,0.06901018047362115,False,-0.015124400841861174,-0.004673369960911907,-0.3694706458877712,0.0,-0.20639754651564043,0.3333333333333333,0.0,-0.6666666666666666,-0.015124400841861174,439.3333333333333,0.008366563932475547,0.013209326566628756,0.3333333333333333,0.0,-1.052910052910053,1.3862433862433863,1.052910052910053
35,0.011144734342306275,0.4182064336352019,3.0,0.5400094787543883,135.0,18.0,22.0,5.0,0.18139294512406404,0.05042334431664461,0.1238021677575126,0.05681733176727276,False,0.2743664608249345,0.0760894610178114,0.6129355404171957,0.5676663485187019,0.4233864727635401,1.2869803916495626,0.1127829296612781,1.5253956115682463,-0.177907434679508,425.0,0.12727632669812947,0.07927151831794693,0.3737346832051971,0.49900210166145165,-0.9556303961598822,1.3293650793650793,0.9556303961598822
36,0.006392891594200109,0.23803998993138809,11.0,0.25244804600708587,175.0,22.0,33.0,8.0,0.14623676247133022,0.06702925314579941,0.11035864731022199,0.050103173058490616,True,0.01388927284812084,0.004241661333504639,0.1552712620938246,0.04394488599557015,0.8930394927300194,3.816982438841928,0.0016300308271111192,2.927203449302951,-0.006717766030339319,261.3333333333333,0.011124349654658834,0.0033710560482633836,0.009310917181272258,0.38888888888888884,-0.6705832627129075,0.6798941798941798,0.6705832627129075
37,0.002588997915324359,0.4806676920431637,11.0,0.2804576647688894,145.0,26.0,24.0,12.0,0.2009517286792248,0.042920853078028016,0.08631962753518009,0.04441047807203348,False,0.04939140319218582,0.014689935495115991,0.3860506896734477,0.27812456695891313,1.7654501454157137,4.234819806065178,0.006497442158833698,5.912704889251681,-0.027255730472824518,417.0,0.03780869751850164,0.01798098141048375,0.03725221327361075,0.5151515151515151,-1.2603668343454368,1.2976190476190477,1.2603668343454368
38,0.004499123472354909,0.44571323669460294,8.0,0.35386582374198405,120.0,32.0,38.0,7.0,0.07209523534679763,0.05108592748352361,0.11737609332608287,0.06001364811182226,False,0.062344034156314176,0.017355332418441005,0.20208701748464283,0.17725668545360396,0.3227192039418379,1.6436436936605439,0.013829211116918864,1.13204750210008,-0.06603632575071801,380.3333333333333,0.049361874720134556,0.026802297496028405,0.06857845672406657,0.5695238095238095,-1.0835379453923355,1.152116402116402,1.0835379453923355
39,0.017309691378978205,0.3735360495622036,14.0,0.4009095051938242,60.0,20.0,52.0,8.0,0.15754962971596062,0.07167518834340224,0.0981563935073447,0.06697551044136371,True,0.006701324405500901,0.002060374466324122,0.18546707092644346,0.0,0.0,4.0,0.00040950040950040947,0.0,0.0,0.0,0.0037286250264484256,0.0,0.0012256695440245858,0.3333333333333333,0.0012256695440245858,0.0,-0.0012256695440245858
40,0.02093142089841958,0.4503514830449834,5.0,0.6023964387207104,100.0,26.0,25.0,10.0,0.17125613602551415,0.0554303337967808,0.0732054077551878,0.0637249648660012,False,0.04529937282865282,0.013268526115990867,0.2255938713510511,0.11136804427408924,0.12261905472674627,1.1366572120603269,0.05114459482988773,0.4176926066478123,-0.15460142532868873,413.0,0.0766171706553913,0.05978082484759994,0.1351545973993869,0.49749706334146565,-1.146591434346645,1.2817460317460319,1.146591434346645
41,0.0032179320480136943,0.33952136857730286,9.0,0.4246711676460865,195.0,16.0,28.0,5.0,0.12229509826140697,0.045830005953754166,0.12878672250886045,0.07687378638261,True,0.03970093254056162,0.01130882274549457,0.15847394618963886,0.11178713291851748,0.3082653400336249,1.5773315575874847,0.010163634458641477,1.0625069295318788,-0.05892966461081454,467.0,0.0403718703631968,0.029705006370549552,0.050647926048615614,0.47067669172932325,-1.4453838199831304,1.496031746031746,1.4453838199831304
42,0.009113987564127736,0.2090793038219666,12.0,0.3095895858559821,110.0,28.0,32.0,12.0,0.10836240637331138,0.06187296285238264,0.12019169224302444,0.055618700882007696,False,-0.012155720226261177,-0.0037850671030050056,-0.40995762472784003,-0.08304087882982175,-0.14698004784464058,0.5362082931939544,0.0008110300081103001,-0.4717580829002725,-0.0226236718999064,284.6666666666667,0.012999704983040872,0.008461006153944113,0.0016196103104255334,0.2222222222222222,-0.770867162176347,0.7724867724867726,0.770867162176347
43,0.007236401618304957,0.26394868757272544,7.0,0.37696167540972647,70.0,18.0,37.0,11.0,0.19457891289155116,0.05872806495215068,0.06004981937082138,0.043388892370080194,False,0.051711448081218414,0.015114554584924314,0.2764043371091887,0.1446301336003781,0.5055446632492565,1.639307832846668,0.009762104860031586,1.7178873870739129,-0.032794445741213894,355.3333333333333,0.03360237307736178,0.013470963499044792,0.051662147882687456,0.46085858585858586,-1.0012479050273653,1.0529100529100528,1.0012479050273653
44,0.014051491267469875,0.30249754113151883,13.0,0.2825378091417642,80.0,24.0,40.0,9.0,0.14272024781971618,0.04253316535105145,0.0887825611673849,0.0,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
45,0.009824175638207252,0.3375513533078603,15.0,0.3394002787034496,115.0,34.0,21.0,7.0,0.17056092116791305,0.052826214719461966,0.10799213966629065,0.049921732164918534,False,-0.03260947079200701,-0.010162182012271962,-0.48225814512481063,-0.042032598561986635,-0.19048200669334445,0.4278311288722376,0.0020395312366115284,-0.6118894156692162,-0.04360405364278552,702.6666666666666,0.021288349922602288,0.02740986003909511,0.004059709267474794,0.23809523809523805,-2.4271572219494564,2.431216931216931,2.4271572219494564
46,0.010874926775854306,0.426256720986082,12.0,0.4863443380735678,85.0,22.0,35.0,15.0,0.21806073162054215,0.051330259667581105,0.09815014794763326,0.0,False,-0.023516754807141844,-0.007273248989075443,-0.40580834036008234,-0.04855280714093823,-0.15382004911123826,0.5185492634970678,0.0028456577984817422,-0.4973713368638921,-0.051908868442083235,583.3333333333334,0.022544885688912192,0.03765157991996446,0.005660253659168084,0.4063492063492064,-1.9520117040127898,1.957671957671958,1.9520117040127898
47,0.0038535740306843234,0.4010299561306129,5.0,0.4638086533853443,125.0,20.0,32.0,14.0,0.0501602124371712,0.07913307066049129,0.08197166852297467,0.06627739163990402,True,0.07601879940197749,0.02228108442854615,0.33171241494302917,0.16942398692924834,0.3562455844631893,1.4603466810385755,0.019893856075110985,1.215513864649427,-0.0696621128273927,437.3333333333333,0.06045588167870458,0.03646960762150589,0.09449071015254554,0.510031919744642,-1.2838161681543325,1.3783068783068781,1.2838161681543325
48,0.01778927967699475,0.38040100023078,11.0,0.29960806123272854,165.0,50.0,27.0,4.0,0.23167199403225525,0.06590761912894744,0.13114421459498357,0.0,False,0.0263546663165883,0.007758082124007896,0.3079843801466268,0.09601877608363757,0.4646896861794229,1.7824848644017077,0.011771286535406253,1.5526233978057011,-0.04780329741281989,551.0,0.036390412462084944,0.02317497834232324,0.058840207432595076,0.582010582010582,-1.7705248719324842,1.8293650793650793,1.7705248719324842
49,0.01980407745624507,0.47423013785116497,3.0,0.5328089075254481,95.0,28.0,50.0,10.0,0.09044112975611551,0.05632922179073817,0.07527242444916787,0.04627157194226497,False,0.18669176548106847,0.053902171487063257,0.654405644382556,0.47941668226732786,0.6442900662313188,1.402469773318768,0.06370299894073272,2.2331843561980644,-0.09671530866946643,372.0,0.08692579147550689,0.04029785166763366,0.2724209812052114,0.5245544404432363,-0.8466266378424077,1.119047619047619,0.8466266378424077
